#ttrig = 90918480.3784
# time 	 unbarycentered time 
16999.268313	17404.165039
16999.270998	17404.167725
16999.271608	17404.168335
16999.276491	17404.173218
16999.276491	17404.173218
16999.276979	17404.173706
16999.281129	17404.177856
16999.285036	17404.181763
16999.286012	17404.182739
16999.30359	17404.200317
16999.303834	17404.200562
16999.305177	17404.201904
16999.307374	17404.204102
16999.318848	17404.215576
16999.321045	17404.217773
16999.3219	17404.218628
16999.326782	17404.223511
16999.327881	17404.224609
16999.332764	17404.229492
16999.334106	17404.230835
16999.336303	17404.233032
16999.338012	17404.234741
16999.338623	17404.235352
16999.342407	17404.239136
16999.342651	17404.23938
16999.343749	17404.240479
16999.343872	17404.240601
16999.347534	17404.244263
16999.348632	17404.245361
16999.351073	17404.247803
16999.352416	17404.249146
16999.352782	17404.249512
16999.355102	17404.251831
16999.356322	17404.253052
16999.357909	17404.254639
16999.358642	17404.255371
16999.361327	17404.258057
16999.361449	17404.258179
16999.363036	17404.259766
16999.363158	17404.259888
16999.365721	17404.262451
16999.367552	17404.264282
16999.37744	17404.27417
16999.380247	17404.276978
16999.381834	17404.278564
16999.384031	17404.280762
16999.38513	17404.28186
16999.385496	17404.282227
16999.385496	17404.282227
16999.385984	17404.282715
16999.388182	17404.284912
16999.389158	17404.285889
16999.38928	17404.286011
16999.38928	17404.286011
16999.389524	17404.286255
16999.389891	17404.286621
16999.390013	17404.286743
16999.390257	17404.286987
16999.392088	17404.288818
16999.392942	17404.289673
16999.393675	17404.290405
16999.394895	17404.291626
16999.39575	17404.29248
16999.396116	17404.292847
16999.396238	17404.292969
16999.39636	17404.293091
16999.396482	17404.293213
16999.396604	17404.293335
16999.401853	17404.298584
16999.402219	17404.29895
16999.402341	17404.299072
16999.408689	17404.30542
16999.408811	17404.305542
16999.409299	17404.30603
16999.411008	17404.307739
16999.41174	17404.308472
16999.414182	17404.310913
16999.414426	17404.311157
16999.418088	17404.314819
16999.41821	17404.314941
16999.421262	17404.317993
16999.422482	17404.319214
16999.425534	17404.322266
16999.427243	17404.323975
16999.432003	17404.328735
16999.432248	17404.328979
16999.432248	17404.328979
16999.43298	17404.329712
16999.43359	17404.330322
16999.434811	17404.331543
16999.434933	17404.331665
16999.437008	17404.33374
16999.437252	17404.333984
16999.437863	17404.334595
16999.437985	17404.334717
16999.437985	17404.334717
16999.438229	17404.334961
16999.438839	17404.335571
16999.438961	17404.335693
16999.439083	17404.335815
16999.44067	17404.337402
16999.440914	17404.337646
16999.443478	17404.34021
16999.444454	17404.341187
16999.444454	17404.341187
16999.450802	17404.347534
16999.453975	17404.350708
16999.455562	17404.352295
16999.460811	17404.357544
16999.466426	17404.363159
16999.467159	17404.363892
