#ttrig = 90890757.3784
# time 	 unbarycentered time 
21805.739959	22209.321899
21805.758757	22209.340698
21805.773649	22209.355591
21805.792691	22209.374634
21805.793668	22209.37561
21805.805508	22209.387451
21805.80563	22209.387573
21805.817837	22209.39978
21805.848109	22209.430054
21805.84933	22209.431274
21805.854335	22209.436279
21805.863734	22209.445679
21805.865809	22209.447754
21805.866419	22209.448364
21805.870936	22209.452881
21805.879358	22209.461304
21805.887659	22209.469604
21805.912682	22209.494629
21805.917687	22209.499634
21805.933678	22209.515625
21805.94564	22209.527588
21805.946983	22209.528931
21805.948326	22209.530273
21805.951988	22209.533936
21805.952476	22209.534424
21805.955894	22209.537842
21805.9681	22209.550049
21805.970298	22209.552246
21805.972861	22209.55481
21805.973105	22209.555054
21805.973227	22209.555176
21805.995321	22209.577271
21805.997274	22209.579224
21806.012288	22209.594238
21806.021077	22209.603027
21806.031209	22209.613159
21806.032185	22209.614136
21806.03304	22209.61499
21806.045857	22209.627808
21806.046101	22209.628052
21806.048908	22209.630859
21806.05965	22209.641602
21806.059772	22209.641724
21806.072711	22209.654663
21806.077716	22209.659668
21806.07796	22209.659912
21806.098711	22209.680664
21806.10689	22209.688843
21806.108599	22209.690552
21806.113359	22209.695313
21806.124223	22209.706177
21806.150223	22209.732178
21806.151688	22209.733643
21806.15596	22209.737915
21806.164627	22209.746582
21806.176345	22209.758301
21806.188186	22209.770142
21806.1949	22209.776855
21806.202834	22209.78479
21806.206618	22209.788574
21806.20674	22209.788696
21806.208205	22209.790161
21806.212965	22209.794922
21806.219557	22209.801514
21806.225172	22209.807129
21806.226271	22209.808228
21806.231153	22209.81311
21806.234327	22209.816284
21806.23689	22209.818848
21806.241651	22209.823608
21806.248853	22209.830811
21806.253736	22209.835693
21806.276806	22209.858765
21806.298778	22209.880737
21806.305614	22209.887573
21806.306712	22209.888672
21806.307201	22209.88916
21806.310252	22209.892212
21806.31721	22209.89917
21806.319285	22209.901245
21806.325144	22209.907104
21806.325266	22209.907227
21806.327341	22209.909302
21806.332102	22209.914063
21806.347116	22209.929077
21806.347849	22209.92981
21806.347971	22209.929932
21806.355661	22209.937622
21806.356759	22209.938721
21806.357126	22209.939087
21806.359079	22209.94104
21806.359201	22209.941162
21806.370431	22209.952393
21806.377267	22209.959229
21806.377633	22209.959595
21806.380684	22209.962646
21806.382271	22209.964233
21806.385323	22209.967285
21806.387154	22209.969116
21806.399727	22209.981689
21806.406685	22209.988647
21806.409614	22209.991577
21806.425483	22210.007446
21806.427558	22210.009521
21806.430365	22210.012329
21806.435858	22210.017822
21806.451117	22210.033081
21806.453192	22210.035156
21806.454901	22210.036865
21806.455633	22210.037598
21806.457952	22210.039917
21806.459295	22210.04126
21806.463934	22210.045898
21806.477849	22210.059814
21806.480901	22210.062866
21806.495061	22210.077026
21806.520817	22210.102783
21806.522892	22210.104858
21806.526798	22210.108765
21806.528995	22210.110962
21806.544009	22210.125977
21806.5683	22210.150269
21806.573305	22210.155273
21806.580263	22210.162231
21806.585023	22210.166992
21806.615906	22210.197876
21806.62262	22210.20459
21806.632385	22210.214355
21806.635437	22210.217407
21806.641174	22210.223145
21806.642395	22210.224365
21806.646179	22210.228149
21806.648986	22210.230957
21806.651427	22210.233398
21806.659118	22210.241089
21806.661803	22210.243774
21806.669371	22210.251343
21806.686705	22210.268677
21806.716245	22210.298218
21806.716733	22210.298706
21806.718808	22210.300781
21806.719663	22210.301636
21806.720151	22210.302124
21806.722714	22210.304688
21806.728695	22210.310669
21806.735287	22210.317261
21806.738217	22210.32019
21806.738583	22210.320557
21806.742855	22210.324829
21806.744564	22210.326538
21806.747249	22210.329224
21806.748226	22210.3302
21806.777278	22210.359253
21806.779719	22210.361694
21806.791926	22210.373901
21806.81756	22210.399536
21806.823907	22210.405884
21806.825738	22210.407715
21806.838677	22210.420654
21806.841851	22210.423828
21806.857964	22210.439941
21806.860161	22210.442139
21806.871879	22210.453857
21806.87432	22210.456299
21806.879813	22210.461792
21806.884818	22210.466797
21806.898734	22210.480713
21806.915457	22210.497437
21806.924001	22210.505981
21806.945729	22210.52771
21806.955128	22210.537109
21806.955861	22210.537842
21806.960133	22210.542114
21806.9688	22210.550781
21806.97002	22210.552002
21806.97588	22210.557861
21806.982227	22210.564209
21806.987598	22210.56958
21806.990894	22210.572876
21806.998584	22210.580566
21807.00957	22210.591553
21807.010791	22210.592773
21807.014086	22210.596069
21807.045946	22210.62793
21807.050096	22210.63208
21807.083908	22210.665894
21807.084519	22210.666504
21807.084763	22210.666748
21807.097458	22210.679443
21807.101486	22210.683472
21807.129805	22210.711792
21807.137984	22210.719971
21807.147261	22210.729248
21807.148115	22210.730103
21807.15312	22210.735107
21807.155561	22210.737549
21807.156538	22210.738525
21807.15788	22210.739868
21807.165571	22210.747559
21807.173139	22210.755127
21807.177899	22210.759888
21807.180585	22210.762573
21807.185101	22210.76709
21807.186688	22210.768677
21807.198773	22210.780762
21807.217693	22210.799683
21807.21928	22210.80127
21807.23759	22210.81958
21807.244425	22210.826416
21807.244792	22210.826782
21807.252726	22210.834717
21807.273721	22210.855713
21807.289224	22210.871216
21807.289224	22210.871216
21807.298379	22210.880371
21807.302651	22210.884644
21807.308022	22210.890015
21807.318642	22210.900635
21807.33097	22210.912964
21807.33097	22210.912964
21807.333778	22210.915771
21807.338294	22210.920288
21807.338539	22210.920532
21807.338783	22210.920776
21807.339881	22210.921875
21807.355628	22210.937622
21807.361243	22210.943237
21807.362952	22210.944946
21807.368689	22210.950684
21807.373083	22210.955078
21807.379431	22210.961426
21807.388952	22210.970947
21807.390051	22210.972046
21807.398351	22210.980347
21807.401525	22210.983521
21807.412389	22210.994385
21807.416051	22210.998047
21807.43729	22211.019287
21807.441562	22211.02356
21807.454135	22211.036133
21807.458774	22211.040771
21807.465976	22211.047974
21807.484042	22211.06604
21807.48807	22211.070068
21807.492342	22211.074341
21807.495882	22211.077881
21807.50345	22211.085449
21807.504915	22211.086914
21807.5076	22211.0896
21807.514558	22211.096558
21807.51761	22211.099609
21807.519075	22211.101074
21807.521028	22211.103027
21807.531281	22211.113281
21807.54361	22211.12561
21807.555572	22211.137573
21807.574126	22211.156128
21807.585723	22211.167725
21807.585723	22211.167725
21807.598906	22211.180908
21807.598906	22211.180908
21807.603789	22211.185791
21807.606474	22211.188477
21807.607206	22211.189209
21807.61392	22211.195923
21807.614897	22211.196899
21807.618559	22211.200562
21807.634061	22211.216064
21807.647977	22211.22998
21807.65408	22211.236084
21807.661526	22211.24353
21807.665188	22211.247192
21807.685085	22211.26709
21807.685573	22211.267578
21807.694972	22211.276978
21807.705836	22211.287842
21807.727442	22211.309448
21807.739648	22211.321655
21807.744775	22211.326782
21807.766137	22211.348145
21807.770897	22211.352905
21807.771386	22211.353394
21807.799217	22211.381226
21807.800559	22211.382568
21807.803733	22211.385742
21807.81301	22211.39502
21807.824606	22211.406616
21807.828635	22211.410645
21807.832907	22211.414917
21807.834616	22211.416626
21807.845114	22211.427124
21807.853658	22211.435669
21807.865499	22211.44751
21807.868917	22211.450928
21807.869527	22211.451538
21807.875874	22211.457886
21807.876729	22211.45874
21807.876973	22211.458984
21807.877827	22211.459839
21807.879903	22211.461914
21807.884907	22211.466919
21807.885273	22211.467285
21807.887226	22211.469238
21807.905659	22211.487671
21807.913715	22211.495728
21807.927142	22211.509155
21807.932391	22211.514404
21807.932391	22211.514404
21807.939349	22211.521362
21807.941424	22211.523438
21807.955706	22211.53772
21807.965715	22211.547729
21807.973039	22211.555054
21807.984147	22211.566162
21807.985856	22211.567871
21807.987077	22211.569092
21807.987809	22211.569824
21807.993424	22211.575439
21807.994523	22211.576538
21808.001969	22211.583984
21808.01564	22211.597656
21808.015762	22211.597778
21808.021377	22211.603394
21808.039809	22211.621826
21808.042251	22211.624268
21808.048232	22211.630249
21808.057875	22211.639893
21808.065932	22211.647949
21808.066176	22211.648193
21808.069105	22211.651123
21808.069716	22211.651733
21808.071791	22211.653809
21808.075575	22211.657593
21808.083387	22211.665405
21808.083509	22211.665527
21808.10426	22211.686279
21808.109753	22211.691772
21808.11781	22211.699829
21808.120251	22211.702271
21808.120617	22211.702637
21808.12257	22211.70459
21808.122936	22211.704956
21808.128185	22211.710205
21808.137462	22211.719482
21808.140148	22211.722168
21808.142101	22211.724121
21808.143322	22211.725342
21808.150035	22211.732056
21808.157481	22211.739502
21808.1598	22211.741821
21808.167124	22211.749146
21808.168833	22211.750854
21808.171397	22211.753418
21808.184092	22211.766113
21808.203012	22211.785034
21808.2035	22211.785522
21808.209848	22211.79187
21808.213388	22211.79541
21808.215951	22211.797974
21808.219003	22211.801025
21808.222665	22211.804688
21808.224618	22211.806641
21808.227669	22211.809692
21808.228646	22211.810669
21808.233529	22211.815552
21808.245613	22211.827637
21808.248054	22211.830078
21808.260383	22211.842407
21808.270881	22211.852905
21808.271003	22211.853027
21808.272101	22211.854126
21808.274909	22211.856934
21808.294318	22211.876343
21808.300909	22211.882935
21808.302374	22211.884399
21808.303961	22211.885986
21808.320928	22211.902954
21808.32459	22211.906616
21808.327398	22211.909424
21808.329961	22211.911987
21808.334233	22211.91626
21808.33582	22211.917847
21808.337651	22211.919678
21808.345707	22211.927734
21808.349003	22211.93103
21808.351445	22211.933472
21808.360111	22211.942139
21808.364384	22211.946411
21808.374027	22211.956055
21808.38367	22211.965698
21808.393313	22211.975342
21808.401248	22211.983276
21808.40906	22211.991089
21808.424806	22212.006836
21808.43213	22212.01416
21808.436647	22212.018677
21808.451295	22212.033325
21808.45398	22212.036011
21808.459839	22212.04187
21808.466431	22212.048462
21808.474854	22212.056885
21808.475708	22212.057739
21808.497192	22212.079224
21808.497192	22212.079224
21808.505614	22212.087646
21808.516112	22212.098145
21808.517333	22212.099365
21808.521849	22212.103882
21808.530516	22212.112549
21808.535765	22212.117798
21808.536497	22212.11853
21808.562741	22212.144775
21808.563718	22212.145752
21808.563962	22212.145996
21808.567136	22212.14917
21808.571042	22212.153076
21808.573727	22212.155762
21808.576657	22212.158691
21808.585079	22212.167114
21808.587032	22212.169067
21808.594234	22212.17627
21808.594601	22212.176636
21808.609249	22212.191284
21808.619502	22212.201538
21808.622432	22212.204468
21808.632563	22212.2146
21808.633784	22212.21582
21808.65307	22212.235107
21808.654657	22212.236694
21808.672845	22212.254883
21808.678826	22212.260864
21808.683953	22212.265991
21808.684075	22212.266113
21808.68493	22212.266968
21808.687127	22212.269165
21808.692009	22212.274048
21808.700798	22212.282837
21808.711784	22212.293823
21808.718254	22212.300293
21808.720329	22212.302368
21808.728141	22212.310181
21808.734489	22212.316528
21808.752921	22212.334961
21808.756338	22212.338379
21808.776235	22212.358276
21808.7777	22212.359741
21808.77831	22212.360352
21808.797353	22212.379395
21808.797475	22212.379517
21808.804188	22212.38623
21808.804555	22212.386597
21808.8214	22212.403442
21808.833118	22212.415161
21808.838489	22212.420532
21808.845813	22212.427856
21808.846179	22212.428223
21808.85094	22212.432983
21808.851428	22212.433472
21808.852038	22212.434082
21808.86986	22212.451904
21808.870715	22212.452759
21808.875597	22212.457642
21808.883776	22212.46582
21808.887804	22212.469849
21808.894273	22212.476318
21808.89525	22212.477295
21808.896715	22212.47876
21808.903672	22212.485718
