#ttrig = 90918480.3784
# time 	 unbarycentered time 
5487.985079	5892.223755
5487.989107	5892.227783
5487.990938	5892.229614
5487.993013	5892.231689
5487.995943	5892.234619
5487.99814	5892.236816
5488.002168	5892.240845
5488.012422	5892.251099
5488.014009	5892.252686
5488.017427	5892.256104
5488.021943	5892.26062
5488.021943	5892.26062
5488.024873	5892.26355
5488.02646	5892.265137
5488.031464	5892.270142
5488.034394	5892.273071
5488.036347	5892.275024
5488.037201	5892.275879
5488.037812	5892.276489
5488.040131	5892.278809
5488.043183	5892.28186
5488.045624	5892.284302
5488.0466	5892.285278
5488.049408	5892.288086
5488.04953	5892.288208
5488.049652	5892.28833
5488.049896	5892.288574
5488.050507	5892.289185
5488.050873	5892.289551
5488.051117	5892.289795
5488.051239	5892.289917
5488.051361	5892.290039
5488.052093	5892.290771
5488.05307	5892.291748
5488.053436	5892.292114
5488.053802	5892.29248
5488.054169	5892.292847
5488.054291	5892.292969
5488.054291	5892.292969
5488.054779	5892.293457
5488.054901	5892.293579
5488.055145	5892.293823
5488.055755	5892.294434
5488.055877	5892.294556
5488.056	5892.294678
5488.056122	5892.2948
5488.056488	5892.295166
5488.05661	5892.295288
5488.05661	5892.295288
5488.05661	5892.295288
5488.056732	5892.29541
5488.056854	5892.295532
5488.056976	5892.295654
5488.057098	5892.295776
5488.05722	5892.295898
5488.057342	5892.296021
5488.057342	5892.296021
5488.057464	5892.296143
5488.057586	5892.296265
5488.057586	5892.296265
5488.057708	5892.296387
5488.057708	5892.296387
5488.057831	5892.296509
5488.057953	5892.296631
5488.058563	5892.297241
5488.058563	5892.297241
5488.058807	5892.297485
5488.058929	5892.297607
5488.059173	5892.297852
5488.059295	5892.297974
5488.059784	5892.298462
5488.059906	5892.298584
5488.059906	5892.298584
5488.060882	5892.299561
5488.061248	5892.299927
5488.06137	5892.300049
5488.061493	5892.300171
5488.061615	5892.300293
5488.061859	5892.300537
5488.061981	5892.300659
5488.062469	5892.301147
5488.062591	5892.30127
5488.062591	5892.30127
5488.062835	5892.301514
5488.062835	5892.301514
5488.062957	5892.301636
5488.063201	5892.30188
5488.063568	5892.302246
5488.063934	5892.302612
5488.064056	5892.302734
5488.064422	5892.303101
5488.065032	5892.303711
5488.065277	5892.303955
5488.065521	5892.304199
5488.065643	5892.304321
5488.066253	5892.304932
5488.066253	5892.304932
5488.066375	5892.305054
5488.066375	5892.305054
5488.066375	5892.305054
5488.066375	5892.305054
5488.067108	5892.305786
5488.06723	5892.305908
5488.06784	5892.306519
5488.067962	5892.306641
5488.068328	5892.307007
5488.069305	5892.307983
5488.070281	5892.30896
5488.070281	5892.30896
5488.07077	5892.309448
5488.071502	5892.310181
5488.071868	5892.310547
5488.071868	5892.310547
5488.072234	5892.310913
5488.072356	5892.311035
5488.073333	5892.312012
5488.073455	5892.312134
5488.073577	5892.312256
5488.074187	5892.312866
5488.076141	5892.314819
5488.076263	5892.314941
5488.076751	5892.31543
5488.077117	5892.315796
5488.079558	5892.318237
5488.079802	5892.318481
5488.079802	5892.318481
5488.080169	5892.318848
5488.080535	5892.319214
5488.080657	5892.319336
5488.080779	5892.319458
5488.081267	5892.319946
5488.083709	5892.322388
5488.083831	5892.32251
5488.084441	5892.32312
5488.084929	5892.323608
5488.08554	5892.324219
5488.08554	5892.324219
5488.085906	5892.324585
5488.086638	5892.325317
5488.089446	5892.328125
5488.0903	5892.328979
5488.091643	5892.330322
5488.091765	5892.330444
5488.091887	5892.330566
5488.092131	5892.330811
5488.092375	5892.331055
5488.093108	5892.331787
5488.093352	5892.332031
5488.096648	5892.335327
5488.097502	5892.336182
5488.097624	5892.336304
5488.097868	5892.336548
5488.099211	5892.337891
5488.099943	5892.338623
5488.100554	5892.339233
5488.10092	5892.3396
5488.101042	5892.339722
5488.102141	5892.34082
5488.102385	5892.341064
5488.103727	5892.342407
5488.106291	5892.344971
5488.108122	5892.346802
5488.110075	5892.348755
5488.110807	5892.349487
5488.115446	5892.354126
5488.117277	5892.355957
5488.11923	5892.35791
5488.11923	5892.35791
5488.12277	5892.36145
5488.123258	5892.361938
5488.12338	5892.362061
5488.123502	5892.362183
5488.12399	5892.362671
5488.125821	5892.364502
5488.126676	5892.365356
5488.128995	5892.367676
5488.131925	5892.370605
5488.132779	5892.37146
5488.133634	5892.372314
5488.133634	5892.372314
5488.13461	5892.373291
5488.135465	5892.374146
5488.136807	5892.375488
5488.138394	5892.377075
5488.140225	5892.378906
5488.140225	5892.378906
5488.142911	5892.381592
5488.143155	5892.381836
5488.146939	5892.38562
5488.148404	5892.387085
