#ttrig = 89808620.3784
# time 	 unbarycentered time 
23175.805969	23506.974083
23175.810076	23506.97819
23175.81095	23506.979065
23175.813077	23506.981192
23175.813328	23506.981443
23175.819219	23506.987334
23175.830427	23506.998544
23175.841395	23507.009513
23175.847125	23507.015244
23175.847144	23507.015263
23175.856266	23507.024385
23175.859353	23507.027473
23175.861076	23507.029196
23175.863141	23507.03126
23175.877289	23507.04541
23175.882559	23507.05068
23175.889627	23507.057749
23175.891587	23507.05971
23175.914903	23507.083028
23175.915426	23507.08355
23175.915451	23507.083575
23175.917383	23507.085507
23175.920415	23507.08854
23175.924261	23507.092386
23175.925808	23507.093933
23175.926112	23507.094237
23175.928292	23507.096417
23175.932738	23507.100864
23175.935755	23507.103881
23175.936703	23507.10483
23175.939518	23507.107645
23175.959475	23507.127604
23175.96585	23507.133979
23175.975062	23507.143192
23175.975367	23507.143497
23175.980936	23507.149067
23175.982966	23507.151096
23175.987389	23507.15552
23176.001727	23507.169859
23176.00494	23507.173073
23176.006455	23507.174588
23176.00817	23507.176303
23176.00878	23507.176913
23176.010314	23507.178447
23176.019999	23507.188133
23176.022656	23507.19079
23176.02595	23507.194085
23176.03647	23507.204606
23176.039923	23507.208059
23176.046566	23507.214703
23176.052207	23507.220345
23176.053807	23507.221944
23176.065193	23507.233332
23176.07388	23507.242019
23176.07452	23507.24266
23176.080231	23507.24837
23176.082279	23507.250419
23176.082807	23507.250947
23176.084577	23507.252717
23176.086134	23507.254274
23176.088207	23507.256348
23176.093634	23507.261775
23176.094352	23507.262493
23176.101114	23507.269256
23176.10794	23507.276082
23176.108866	23507.277008
23176.109663	23507.277805
23176.110686	23507.278829
23176.115491	23507.283634
23176.115795	23507.283938
23176.115857	23507.283999
23176.118375	23507.286518
23176.123089	23507.291233
23176.12335	23507.291493
23176.123616	23507.291759
23176.124798	23507.292942
23176.125054	23507.293198
23176.125833	23507.293977
23176.126019	23507.294163
23176.126068	23507.294212
23176.12634	23507.294484
23176.1265	23507.294644
23176.126513	23507.294657
23176.127146	23507.29529
23176.128241	23507.296385
23176.135023	23507.303167
23176.135388	23507.303533
23176.136851	23507.304996
23176.137346	23507.305491
23176.137373	23507.305518
23176.137555	23507.3057
23176.138707	23507.306852
23176.141334	23507.30948
23176.141681	23507.309826
23176.143134	23507.311279
23176.143674	23507.311819
23176.143687	23507.311832
23176.144364	23507.31251
23176.146032	23507.314178
23176.151124	23507.31927
23176.151606	23507.319753
23176.151949	23507.320095
23176.152462	23507.320608
23176.154115	23507.322262
23176.154414	23507.32256
23176.155868	23507.324015
23176.156187	23507.324334
23176.157122	23507.325269
23176.157438	23507.325584
23176.158056	23507.326202
23176.161298	23507.329445
23176.162481	23507.330628
23176.163144	23507.331291
23176.164925	23507.333073
23176.165731	23507.333879
23176.166191	23507.334338
23176.166685	23507.334832
23176.166818	23507.334966
23176.166839	23507.334987
23176.167291	23507.335439
23176.168013	23507.336161
23176.168344	23507.336492
23176.168533	23507.33668
23176.168616	23507.336763
23176.168699	23507.336846
23176.169089	23507.337236
23176.170153	23507.338301
23176.170357	23507.338505
23176.17093	23507.339078
23176.17151	23507.339658
23176.172006	23507.340154
23176.172313	23507.340461
23176.174787	23507.342936
23176.174818	23507.342966
23176.176016	23507.344165
23176.176449	23507.344598
23176.177163	23507.345311
23176.177513	23507.345661
23176.177764	23507.345913
23176.180625	23507.348774
23176.180883	23507.349032
23176.181353	23507.349502
23176.18215	23507.350299
23176.182426	23507.350575
23176.182975	23507.351124
23176.183848	23507.351997
23176.18428	23507.352429
23176.185036	23507.353186
23176.185395	23507.353544
23176.186287	23507.354437
23176.186518	23507.354668
23176.187702	23507.355851
23176.189662	23507.357812
23176.190583	23507.358733
23176.192266	23507.360416
23176.192298	23507.360448
23176.193133	23507.361283
23176.193375	23507.361525
23176.193493	23507.361643
23176.194826	23507.362976
23176.195018	23507.363169
23176.195687	23507.363837
23176.19582	23507.363971
23176.195923	23507.364074
23176.197289	23507.365439
23176.198901	23507.367052
23176.199591	23507.367742
23176.199636	23507.367786
23176.200028	23507.368178
23176.200045	23507.368196
23176.200714	23507.368865
23176.200848	23507.368999
23176.201241	23507.369391
23176.201528	23507.369679
23176.202214	23507.370365
23176.202978	23507.371129
23176.203202	23507.371353
23176.204922	23507.373074
23176.205291	23507.373443
23176.205298	23507.373449
23176.206379	23507.37453
23176.206516	23507.374667
23176.207728	23507.375879
23176.207752	23507.375903
23176.211277	23507.379429
23176.212159	23507.380311
23176.213396	23507.381548
23176.213997	23507.382149
23176.215442	23507.383595
23176.215792	23507.383945
23176.216365	23507.384518
23176.216988	23507.38514
23176.217656	23507.385808
23176.217896	23507.386048
23176.218256	23507.386409
23176.218346	23507.386498
23176.218392	23507.386544
23176.218984	23507.387136
23176.219308	23507.387461
23176.22049	23507.388642
23176.220645	23507.388798
23176.220932	23507.389085
23176.221029	23507.389182
23176.223586	23507.391739
23176.223786	23507.391939
23176.223959	23507.392112
23176.224162	23507.392315
23176.224555	23507.392708
23176.225011	23507.393164
23176.225138	23507.393291
23176.22745	23507.395603
23176.228396	23507.396549
23176.22869	23507.396843
23176.228959	23507.397112
23176.229103	23507.397257
23176.229469	23507.397622
23176.232217	23507.400371
23176.232898	23507.401052
23176.233016	23507.40117
23176.234921	23507.403075
23176.23976	23507.407914
23176.240652	23507.408807
23176.240678	23507.408833
23176.240717	23507.408872
23176.242951	23507.411106
23176.24414	23507.412294
23176.250926	23507.419082
23176.254651	23507.422807
23176.254986	23507.423141
23176.255394	23507.42355
23176.256081	23507.424237
23176.257133	23507.425289
23176.259181	23507.427337
23176.267506	23507.435663
23176.267545	23507.435702
23176.269887	23507.438045
23176.270066	23507.438223
23176.270134	23507.438292
23176.271064	23507.439221
23176.271215	23507.439372
23176.277795	23507.445952
23176.280688	23507.448846
23176.282348	23507.450506
23176.282388	23507.450546
23176.287985	23507.456143
23176.291147	23507.459306
