#ttrig = 90918480.3784
# time 	 unbarycentered time 
13688.656806	14093.349731
13688.656928	14093.349854
13688.662299	14093.355225
13688.667304	14093.360229
13688.670721	14093.363647
13688.671332	14093.364258
13688.671698	14093.364624
13688.671942	14093.364868
13688.67243	14093.365356
13688.672796	14093.365723
13688.67304	14093.365967
13688.673163	14093.366089
13688.673407	14093.366333
13688.673529	14093.366455
13688.673773	14093.366699
13688.673773	14093.366699
13688.673895	14093.366821
13688.674139	14093.367065
13688.674261	14093.367188
13688.674749	14093.367676
13688.67536	14093.368286
13688.675726	14093.368652
13688.67597	14093.368896
13688.677435	14093.370361
13688.678289	14093.371216
13688.679144	14093.37207
13688.679266	14093.372192
13688.679266	14093.372192
13688.679388	14093.372314
13688.679388	14093.372314
13688.680242	14093.373169
13688.68073	14093.373657
13688.681219	14093.374146
13688.681341	14093.374268
13688.681951	14093.374878
13688.682195	14093.375122
13688.682683	14093.37561
13688.684148	14093.377075
13688.685124	14093.378052
13688.685491	14093.378418
13688.685613	14093.37854
13688.686711	14093.379639
13688.688298	14093.381226
13688.688542	14093.38147
13688.690373	14093.383301
13688.696232	14093.38916
13688.697209	14093.390137
13688.699161	14093.39209
13688.70441	14093.397339
13688.70502	14093.397949
13688.706973	14093.399902
13688.708194	14093.401123
13688.710879	14093.403809
13688.712222	14093.405151
13688.713443	14093.406372
13688.715762	14093.408691
13688.717593	14093.410522
13688.717837	14093.410767
13688.718325	14093.411255
13688.720644	14093.413574
13688.720888	14093.413818
13688.72101	14093.41394
13688.721132	14093.414063
13688.722475	14093.415405
13688.723085	14093.416016
13688.72333	14093.41626
13688.723452	14093.416382
13688.728822	14093.421753
13688.729188	14093.422119
13688.731386	14093.424316
13688.731874	14093.424805
13688.735047	14093.427979
13688.735902	14093.428833
13688.739564	14093.432495
13688.742127	14093.435059
13688.742859	14093.435791
13688.745911	14093.438843
13688.747253	14093.440186
13688.749939	14093.442871
13688.754089	14093.447021
13688.755676	14093.448608
13688.758971	14093.451904
13688.76361	14093.456543
