#ttrig = 90918480.3784
# time 	 unbarycentered time 
22660.885334	23066.107178
22660.888141	23066.109985
22660.892169	23066.114014
22660.894366	23066.116211
22660.894855	23066.116699
22660.896564	23066.118408
22660.901446	23066.123291
22660.906695	23066.12854
22660.911944	23066.133789
22660.912188	23066.134033
22660.917925	23066.139771
22660.918902	23066.140747
22660.928423	23066.150269
22660.928545	23066.150391
22660.929888	23066.151733
22660.93123	23066.153076
22660.93831	23066.160156
22660.938432	23066.160278
22660.938799	23066.160645
22660.938921	23066.160767
22660.939165	23066.161011
22660.939775	23066.161621
22660.940019	23066.161865
22660.940141	23066.161987
22660.940141	23066.161987
22660.940385	23066.162231
22660.94124	23066.163086
22660.942705	23066.164551
22660.943925	23066.165771
22660.944047	23066.165894
22660.944414	23066.16626
22660.94539	23066.167236
22660.945634	23066.16748
22660.950029	23066.171875
22660.950395	23066.172241
22660.950517	23066.172363
22660.951738	23066.173584
22660.95247	23066.174316
22660.95247	23066.174316
22660.955277	23066.177124
22660.957963	23066.17981
22660.958207	23066.180054
22660.961381	23066.183228
22660.961625	23066.183472
22660.961991	23066.183838
22660.962968	23066.184814
22660.963578	23066.185425
22660.963944	23066.185791
22660.964066	23066.185913
22660.964188	23066.186035
22660.96431	23066.186157
22660.964555	23066.186401
22660.965287	23066.187134
22660.965653	23066.1875
22660.966386	23066.188232
22660.967118	23066.188965
22660.96785	23066.189697
22660.96785	23066.189697
22660.967972	23066.189819
22660.968094	23066.189941
22660.968461	23066.190308
22660.969681	23066.191528
22660.970658	23066.192505
22660.971024	23066.192871
22660.971146	23066.192993
22660.971512	23066.193359
22660.971512	23066.193359
22660.972489	23066.194336
22660.972489	23066.194336
22660.972855	23066.194702
22660.973099	23066.194946
22660.973587	23066.195435
22660.97371	23066.195557
22660.973954	23066.195801
22660.974564	23066.196411
22660.975418	23066.197266
22660.975418	23066.197266
22660.97554	23066.197388
22660.975663	23066.19751
22660.975785	23066.197632
22660.976639	23066.198486
22660.976639	23066.198486
22660.978592	23066.200439
22660.978592	23066.200439
22660.979447	23066.201294
22660.979447	23066.201294
22660.983109	23066.204956
22660.983597	23066.205444
22660.983719	23066.205566
22660.984695	23066.206543
22660.985672	23066.20752
22660.986404	23066.208252
22660.986404	23066.208252
22660.987503	23066.209351
22660.98909	23066.210938
22660.989456	23066.211304
22660.991897	23066.213745
22660.992142	23066.213989
22660.992996	23066.214844
22660.993606	23066.215454
22660.998611	23066.220459
22661.004592	23066.22644
22661.011672	23066.233521
22661.013259	23066.235107
22661.014113	23066.235962
22661.01509	23066.236938
22661.017165	23066.239014
22661.020339	23066.242188
22661.021193	23066.243042
22661.025344	23066.247192
22661.025954	23066.247803
22661.026564	23066.248413
22661.027419	23066.249268
22661.037062	23066.258911
22661.037428	23066.259277
22661.041212	23066.263062
22661.042433	23066.264282
22661.044874	23066.266724
22661.044874	23066.266724
22661.045362	23066.267212
22661.046339	23066.268188
22661.051222	23066.273071
22661.052931	23066.27478
22661.054151	23066.276001
22661.054762	23066.276611
22661.05525	23066.2771
22661.056715	23066.278564
22661.056715	23066.278564
22661.056959	23066.278809
22661.057935	23066.279785
22661.061231	23066.283081
22661.072827	23066.294678
22661.072949	23066.2948
22661.072949	23066.2948
22661.079175	23066.301025
22661.079419	23066.30127
22661.080395	23066.302246
22661.084912	23066.306763
22661.086133	23066.307983
22661.086987	23066.308838
22661.091259	23066.31311
22661.091992	23066.313843
22661.094555	23066.316406
22661.095654	23066.317505
22661.103588	23066.325439
22661.104809	23066.32666
22661.105419	23066.327271
22661.106151	23066.328003
22661.109447	23066.331299
22661.109569	23066.331421
22661.110668	23066.33252
22661.114452	23066.336304
22661.116039	23066.337891
22661.116283	23066.338135
22661.116893	23066.338745
22661.118724	23066.340576
22661.12141	23066.343262
22661.125804	23066.347656
22661.128856	23066.350708
22661.14033	23066.362183
22661.142771	23066.364624
22661.146922	23066.368774
22661.147776	23066.369629
22661.160227	23066.38208
22661.162424	23066.384277
22661.166208	23066.388062
22661.16987	23066.391724
22661.176706	23066.39856
22661.179269	23066.401123
22661.180734	23066.402588
22661.18171	23066.403564
22661.20588	23066.427734
22661.209664	23066.431519
22661.210274	23066.432129
22661.213814	23066.435669
22661.213814	23066.435669
22661.214546	23066.436401
22661.217598	23066.439453
22661.21772	23066.439575
22661.222481	23066.444336
22661.224067	23066.445923
22661.2248	23066.446655
22661.224922	23066.446777
22661.226387	23066.448242
22661.231269	23066.453125
22661.240791	23066.462646
22661.241401	23066.463257
22661.242499	23066.464355
22661.244819	23066.466675
22661.252509	23066.474365
22661.26264	23066.484497
22661.268377	23066.490234
22661.268744	23066.490601
22661.269476	23066.491333
