#ttrig = 90918480.3784
# time 	 unbarycentered time 
18626.713326	19031.677979
18626.714181	19031.678833
18626.714547	19031.679199
18626.719918	19031.68457
18626.719918	19031.68457
18626.720284	19031.684937
18626.723946	19031.688599
18626.724068	19031.688721
18626.724312	19031.688965
18626.727974	19031.692627
18626.732368	19031.697021
18626.732368	19031.697021
18626.732857	19031.69751
18626.733467	19031.69812
18626.733711	19031.698364
18626.733711	19031.698364
18626.733833	19031.698486
18626.734077	19031.69873
18626.734321	19031.698975
18626.734443	19031.699097
18626.734565	19031.699219
18626.734688	19031.699341
18626.73481	19031.699463
18626.73481	19031.699463
18626.734932	19031.699585
18626.735054	19031.699707
18626.735054	19031.699707
18626.735176	19031.699829
18626.735176	19031.699829
18626.735542	19031.700195
18626.735786	19031.700439
18626.73603	19031.700684
18626.736396	19031.70105
18626.736396	19031.70105
18626.736763	19031.701416
18626.736885	19031.701538
18626.737495	19031.702148
18626.737495	19031.702148
18626.737617	19031.702271
18626.737739	19031.702393
18626.738349	19031.703003
18626.739204	19031.703857
18626.739814	19031.704468
18626.739814	19031.704468
18626.740058	19031.704712
18626.74018	19031.704834
18626.74018	19031.704834
18626.740791	19031.705444
18626.741279	19031.705933
18626.741279	19031.705933
18626.741645	19031.706299
18626.742133	19031.706787
18626.742744	19031.707397
18626.742988	19031.707642
18626.742988	19031.707642
18626.742988	19031.707642
18626.74311	19031.707764
18626.743354	19031.708008
18626.74372	19031.708374
18626.743964	19031.708618
18626.744697	19031.709351
18626.744819	19031.709473
18626.744941	19031.709595
18626.745063	19031.709717
18626.745185	19031.709839
18626.745429	19031.710083
18626.745429	19031.710083
18626.745551	19031.710205
18626.746284	19031.710938
18626.746284	19031.710938
18626.74665	19031.711304
18626.746894	19031.711548
18626.747504	19031.712158
18626.74787	19031.712524
18626.748237	19031.712891
18626.748237	19031.712891
18626.748725	19031.713379
18626.749091	19031.713745
18626.749335	19031.713989
18626.749457	19031.714111
18626.750556	19031.71521
18626.750556	19031.71521
18626.751654	19031.716309
18626.751776	19031.716431
18626.752143	19031.716797
18626.752875	19031.717529
18626.752997	19031.717651
18626.752997	19031.717651
18626.753485	19031.71814
18626.753851	19031.718506
18626.754096	19031.71875
18626.754218	19031.718872
18626.754706	19031.71936
18626.754706	19031.71936
18626.755194	19031.719849
18626.755438	19031.720093
18626.755804	19031.720459
18626.757513	19031.722168
18626.757757	19031.722412
18626.758124	19031.722778
18626.758246	19031.7229
18626.758612	19031.723267
18626.758612	19031.723267
18626.760565	19031.72522
18626.760809	19031.725464
18626.760931	19031.725586
18626.761297	19031.725952
18626.761419	19031.726074
18626.761419	19031.726074
18626.761786	19031.72644
18626.76203	19031.726685
18626.76264	19031.727295
18626.763494	19031.728149
18626.764715	19031.72937
18626.765081	19031.729736
18626.765203	19031.729858
18626.765447	19031.730103
18626.766058	19031.730713
18626.766668	19031.731323
18626.769475	19031.734131
18626.770208	19031.734863
18626.770452	19031.735107
18626.770452	19031.735107
18626.771917	19031.736572
18626.774236	19031.738892
18626.77509	19031.739746
18626.778142	19031.742798
18626.779363	19031.744019
18626.779973	19031.744629
18626.780217	19031.744873
18626.780339	19031.744995
18626.783635	19031.748291
18626.787663	19031.752319
18626.790959	19031.755615
18626.797306	19031.761963
18626.798038	19031.762695
18626.798404	19031.763062
18626.798527	19031.763184
18626.801334	19031.765991
18626.803043	19031.7677
18626.810611	19031.775269
18626.811099	19031.775757
18626.814273	19031.778931
18626.814395	19031.779053
18626.816714	19031.781372
18626.821841	19031.786499
18626.827211	19031.79187
18626.82892	19031.793579
18626.832582	19031.797241
18626.834047	19031.798706
18626.837465	19031.802124
18626.840028	19031.804688
18626.847962	19031.812622
18626.850159	19031.814819
