#ttrig = 89808620.3784
# time 	 unbarycentered time 
23253.689428	23584.864737
23253.691598	23584.866906
23253.693752	23584.869061
23253.697143	23584.872452
23253.70051	23584.875819
23253.702138	23584.877447
23253.705308	23584.880618
23253.709476	23584.884786
23253.714706	23584.890017
23253.716562	23584.891872
23253.716843	23584.892154
23253.717565	23584.892876
23253.71955	23584.894861
23253.72031	23584.895621
23253.721847	23584.897159
23253.726665	23584.901977
23253.727892	23584.903204
23253.728311	23584.903623
23253.732633	23584.907945
23253.733227	23584.908539
23253.736207	23584.911519
23253.736451	23584.911763
23253.738145	23584.913458
23253.738611	23584.913924
23253.74208	23584.917393
23253.743233	23584.918546
23253.744192	23584.919505
23253.744355	23584.919668
23253.744426	23584.91974
23253.745235	23584.920548
23253.749842	23584.925156
23253.755783	23584.931097
23253.755784	23584.931098
23253.757953	23584.933268
23253.758243	23584.933558
23253.765961	23584.941277
23253.769738	23584.945054
23253.770013	23584.945329
23253.770141	23584.945457
23253.770909	23584.946224
23253.772658	23584.947974
23253.773003	23584.948318
23253.773479	23584.948795
23253.773964	23584.94928
23253.777921	23584.953238
23253.778351	23584.953668
23253.782354	23584.957671
23253.784037	23584.959354
23253.784518	23584.959835
23253.787047	23584.962364
23253.791639	23584.966957
23253.795307	23584.970625
23253.798009	23584.973328
23253.802036	23584.977355
23253.80427	23584.979589
23253.805929	23584.981248
23253.810549	23584.985868
23253.812387	23584.987706
23253.819376	23584.994697
23253.835401	23585.010723
23253.838368	23585.01369
23253.840994	23585.016316
23253.842818	23585.018141
23253.849791	23585.025114
23253.856418	23585.031742
23253.859329	23585.034653
23253.861876	23585.0372
23253.862063	23585.037387
23253.870871	23585.046196
23253.885845	23585.061172
23253.889618	23585.064944
