#ttrig = 90918480.3784
# time 	 unbarycentered time 
12915.79478	13320.433716
12915.805888	13320.444824
12915.815409	13320.454346
12915.824075	13320.463013
12915.825052	13320.463989
12915.843239	13320.482178
12915.859961	13320.498901
12915.878393	13320.517334
12915.883642	13320.522583
12915.887182	13320.526123
12915.88889	13320.527832
12915.899632	13320.538574
12915.907078	13320.546021
12915.915866	13320.55481
12915.917697	13320.556641
12915.921481	13320.560425
12915.922824	13320.561768
12915.934176	13320.57312
12915.946504	13320.585449
12915.957856	13320.596802
12915.965424	13320.60437
12915.977752	13320.616699
12915.978729	13320.617676
12915.978973	13320.61792
12915.980682	13320.619629
12915.981292	13320.620239
12915.981902	13320.62085
12915.982269	13320.621216
12915.982635	13320.621582
12915.982757	13320.621704
12915.982757	13320.621704
12915.985198	13320.624146
12915.985442	13320.62439
12915.987761	13320.626709
12915.990691	13320.629639
12915.990691	13320.629639
12915.991911	13320.630859
12915.993376	13320.632324
12915.994963	13320.633911
12915.996184	13320.635132
12915.996428	13320.635376
12916.001799	13320.640747
12916.002653	13320.641602
12916.003263	13320.642212
12916.00363	13320.642578
12916.00363	13320.642578
12916.004118	13320.643066
12916.004484	13320.643433
12916.005338	13320.644287
12916.006437	13320.645386
12916.00778	13320.646729
12916.008146	13320.647095
12916.008634	13320.647583
12916.008634	13320.647583
12916.010587	13320.649536
12916.014981	13320.653931
12916.015103	13320.654053
12916.01547	13320.654419
12916.01547	13320.654419
12916.015592	13320.654541
12916.01608	13320.655029
12916.016812	13320.655762
12916.017056	13320.656006
12916.017301	13320.65625
12916.017789	13320.656738
12916.018521	13320.657471
12916.018887	13320.657837
12916.01962	13320.658569
12916.019864	13320.658813
12916.021451	13320.6604
12916.022183	13320.661133
12916.022183	13320.661133
12916.022305	13320.661255
12916.022305	13320.661255
12916.023404	13320.662354
12916.024746	13320.663696
12916.025601	13320.664551
12916.025967	13320.664917
12916.025967	13320.664917
12916.027676	13320.666626
12916.029507	13320.668457
12916.030117	13320.669067
12916.030605	13320.669556
12916.030727	13320.669678
12916.031582	13320.670532
12916.031826	13320.670776
12916.032925	13320.671875
12916.032925	13320.671875
12916.034145	13320.673096
12916.034267	13320.673218
12916.034267	13320.673218
12916.034878	13320.673828
12916.035122	13320.674072
12916.035488	13320.674438
12916.035732	13320.674683
12916.036587	13320.675537
12916.036831	13320.675781
12916.037075	13320.676025
12916.037685	13320.676636
12916.038906	13320.677856
12916.039028	13320.677979
12916.040493	13320.679443
12916.040615	13320.679565
12916.046596	13320.685547
12916.047084	13320.686035
12916.050502	13320.689453
12916.050746	13320.689697
12916.051722	13320.690674
12916.051844	13320.690796
12916.052211	13320.691162
12916.054164	13320.693115
12916.055262	13320.694214
12916.056849	13320.695801
12916.056849	13320.695801
12916.059901	13320.698853
12916.060145	13320.699097
12916.061487	13320.700439
12916.061976	13320.700928
12916.062708	13320.70166
12916.062952	13320.701904
12916.063807	13320.702759
12916.063929	13320.702881
12916.064295	13320.703247
12916.064539	13320.703491
12916.066248	13320.7052
12916.06637	13320.705322
12916.068689	13320.707642
12916.069177	13320.70813
12916.071374	13320.710327
12916.073327	13320.71228
12916.073694	13320.712646
12916.074304	13320.713257
12916.075403	13320.714355
12916.075525	13320.714478
12916.075891	13320.714844
12916.076135	13320.715088
12916.076623	13320.715576
12916.078332	13320.717285
12916.080773	13320.719727
12916.080773	13320.719727
12916.083092	13320.722046
12916.084557	13320.723511
12916.084557	13320.723511
12916.084923	13320.723877
12916.084923	13320.723877
12916.084923	13320.723877
12916.085412	13320.724365
12916.086388	13320.725342
12916.086632	13320.725586
12916.087365	13320.726318
12916.087853	13320.726807
12916.088341	13320.727295
12916.089074	13320.728027
12916.089318	13320.728271
12916.089684	13320.728638
12916.089806	13320.72876
12916.090294	13320.729248
12916.091149	13320.730103
12916.092003	13320.730957
12916.094933	13320.733887
12916.095177	13320.734131
12916.095543	13320.734497
12916.095665	13320.734619
12916.096153	13320.735107
12916.096397	13320.735352
12916.097008	13320.735962
12916.101524	13320.740479
12916.103111	13320.742065
12916.103721	13320.742676
12916.104087	13320.743042
12916.104453	13320.743408
12916.10543	13320.744385
12916.105796	13320.744751
12916.106895	13320.74585
12916.107139	13320.746094
12916.107383	13320.746338
12916.107993	13320.746948
12916.108482	13320.747437
12916.109092	13320.748047
12916.109092	13320.748047
12916.109946	13320.748901
12916.11019	13320.749146
12916.111289	13320.750244
12916.111655	13320.75061
12916.115683	13320.754639
12916.116904	13320.755859
12916.116904	13320.755859
12916.118125	13320.75708
12916.118979	13320.757935
12916.119955	13320.758911
12916.121298	13320.760254
12916.12142	13320.760376
12916.122275	13320.76123
12916.122641	13320.761597
12916.124228	13320.763184
12916.12435	13320.763306
12916.124838	13320.763794
12916.125082	13320.764038
12916.125448	13320.764404
12916.125448	13320.764404
12916.126181	13320.765137
12916.126303	13320.765259
12916.126425	13320.765381
12916.127279	13320.766235
12916.127279	13320.766235
12916.128866	13320.767822
12916.129354	13320.768311
12916.130331	13320.769287
12916.130453	13320.769409
12916.132772	13320.771729
12916.133016	13320.771973
12916.133749	13320.772705
12916.133871	13320.772827
12916.134847	13320.773804
12916.136312	13320.775269
12916.138631	13320.777588
12916.140218	13320.779175
12916.14864	13320.787598
12916.149983	13320.78894
12916.156452	13320.79541
12916.157185	13320.796143
12916.158894	13320.797852
12916.160358	13320.799316
12916.160847	13320.799805
12916.16341	13320.802368
12916.163654	13320.802612
12916.167804	13320.806763
12916.169391	13320.80835
12916.169757	13320.808716
12916.171222	13320.810181
12916.172931	13320.81189
12916.177813	13320.816772
12916.180865	13320.819824
12916.181597	13320.820557
12916.183794	13320.822754
12916.184283	13320.823242
12916.196245	13320.835205
12916.198198	13320.837158
12916.203202	13320.842163
12916.204423	13320.843384
12916.204911	13320.843872
12916.205033	13320.843994
12916.208207	13320.847168
12916.208695	13320.847656
12916.21016	13320.849121
12916.211503	13320.850464
12916.213578	13320.852539
12916.214066	13320.853027
12916.219071	13320.858032
12916.219925	13320.858887
12916.220291	13320.859253
12916.220413	13320.859375
12916.222366	13320.861328
12916.228469	13320.867432
12916.229568	13320.86853
12916.231521	13320.870483
12916.231887	13320.87085
12916.23738	13320.876343
12916.239333	13320.878296
12916.241408	13320.880371
12916.241896	13320.880859
12916.242385	13320.881348
12916.244093	13320.883057
12916.245558	13320.884521
12916.246657	13320.88562
12916.256544	13320.895508
12916.258497	13320.897461
12916.281323	13320.920288
12916.285595	13320.924561
12916.295726	13320.934692
12916.308421	13320.947388
12916.313181	13320.952148
12916.314035	13320.953003
12916.317087	13320.956055
12916.319162	13320.95813
12916.319528	13320.958496
12916.324899	13320.963867
12916.332955	13320.971924
12916.337105	13320.976074
12916.348213	13320.987183
12916.355293	13320.994263
12916.356635	13320.995605
12916.361152	13321.000122
12916.370795	13321.009766
12916.376166	13321.015137
12916.378119	13321.01709
12916.379339	13321.018311
12916.380682	13321.019653
12916.382635	13321.021606
12916.384832	13321.023804
12916.386175	13321.025146
12916.414859	13321.053833
12916.434145	13321.07312
12916.448427	13321.087402
12916.455262	13321.094238
12916.455262	13321.094238
12916.459901	13321.098877
12916.461732	13321.100708
12916.462708	13321.101685
12916.468811	13321.107788
12916.4693	13321.108276
12916.472595	13321.111572
12916.484435	13321.123413
12916.488097	13321.127075
12916.489928	13321.128906
12916.492858	13321.131836
12916.500059	13321.139038
12916.502134	13321.141113
12916.518857	13321.157837
12916.523984	13321.162964
12916.535336	13321.174316
12916.536434	13321.175415
12916.542293	13321.181274
12916.551326	13321.190308
12916.551814	13321.190796
12916.55218	13321.191162
12916.565485	13321.204468
12916.570856	13321.209839
12916.576349	13321.215332
12916.598564	13321.237549
12916.599541	13321.238525
12916.603202	13321.242188
12916.612601	13321.251587
12916.612601	13321.251587
12916.615165	13321.25415
12916.619925	13321.258911
12916.623831	13321.262817
12916.628836	13321.267822
12916.632376	13321.271362
12916.640188	13321.279175
12916.641896	13321.280884
12916.649831	13321.288818
12916.658741	13321.297729
12916.661182	13321.300171
12916.661549	13321.300537
12916.665577	13321.304565
12916.672412	13321.311401
12916.67583	13321.314819
12916.679858	13321.318848
12916.686694	13321.325684
12916.69243	13321.331421
12916.703904	13321.342896
12916.710618	13321.349609
12916.713914	13321.352905
12916.726364	13321.365356
12916.73088	13321.369873
12916.735519	13321.374512
12916.736617	13321.37561
12916.739425	13321.378418
12916.739913	13321.378906
12916.740767	13321.379761
12916.747115	13321.386108
12916.747847	13321.386841
12916.749922	13321.388916
12916.750899	13321.389893
12916.753462	13321.392456
12916.755537	13321.394531
12916.76933	13321.408325
12916.778363	13321.417358
12916.790813	13321.42981
12916.792034	13321.43103
12916.792278	13321.431274
12916.795207	13321.434204
12916.805827	13321.444824
12916.806437	13321.445435
12916.807902	13321.446899
12916.810954	13321.449951
12916.81486	13321.453857
12916.81608	13321.455078
12916.82023	13321.459229
12916.821207	13321.460205
12916.828653	13321.467651
12916.83085	13321.469849
12916.833291	13321.47229
12916.835122	13321.474121
12916.835488	13321.474487
12916.848305	13321.487305
12916.862708	13321.501709
12916.868567	13321.507568
12916.870642	13321.509644
12916.871497	13321.510498
12916.876868	13321.515869
12916.878576	13321.517578
12916.884924	13321.523926
12916.892492	13321.531494
12916.895177	13321.53418
12916.903843	13321.542847
12916.906895	13321.545898
12916.921787	13321.560791
12916.923129	13321.562134
12916.924106	13321.56311
12916.928866	13321.567871
12916.929843	13321.568848
12916.936678	13321.575684
12916.938753	13321.577759
12916.940218	13321.579224
12916.940218	13321.579224
12916.946199	13321.585205
12916.954622	13321.593628
12916.959504	13321.598511
12916.976471	13321.615479
12916.977081	13321.616089
12916.981842	13321.62085
12916.988311	13321.627319
12916.990386	13321.629395
12916.997588	13321.636597
12916.99832	13321.637329
12917.002958	13321.641968
12917.011137	13321.650146
12917.017972	13321.656982
12917.022611	13321.661621
12917.031033	13321.670044
12917.031765	13321.670776
12917.032254	13321.671265
12917.035793	13321.674805
12917.036526	13321.675537
12917.038601	13321.677612
12917.038967	13321.677979
12917.040432	13321.679443
12917.042995	13321.682007
12917.043483	13321.682495
12917.043605	13321.682617
12917.044094	13321.683105
12917.04446	13321.683472
12917.044948	13321.68396
12917.046657	13321.685669
12917.047023	13321.686035
12917.048488	13321.6875
12917.048976	13321.687988
12917.049098	13321.68811
12917.049098	13321.68811
12917.04922	13321.688232
12917.049831	13321.688843
12917.049953	13321.688965
12917.050685	13321.689697
12917.050929	13321.689941
12917.051295	13321.690308
12917.051417	13321.69043
12917.053615	13321.692627
12917.053859	13321.692871
12917.054713	13321.693726
12917.054957	13321.69397
12917.057154	13321.696167
12917.057521	13321.696533
12917.057887	13321.696899
12917.057887	13321.696899
12917.058131	13321.697144
12917.058375	13321.697388
12917.059474	13321.698486
12917.059718	13321.69873
12917.059718	13321.69873
12917.059962	13321.698975
12917.06045	13321.699463
12917.06045	13321.699463
12917.060694	13321.699707
12917.061183	13321.700195
12917.062525	13321.701538
12917.062525	13321.701538
12917.062525	13321.701538
12917.063013	13321.702026
12917.063136	13321.702148
12917.063258	13321.702271
12917.06399	13321.703003
12917.065089	13321.704102
12917.065211	13321.704224
12917.066065	13321.705078
12917.066309	13321.705322
12917.067042	13321.706055
12917.069361	13321.708374
12917.070337	13321.709351
12917.070581	13321.709595
12917.070581	13321.709595
12917.071192	13321.710205
12917.072534	13321.711548
12917.073023	13321.712036
12917.073389	13321.712402
12917.073755	13321.712769
