#ttrig = 89808620.3784
# time 	 unbarycentered time 
22624.829806	22955.948175
22624.835671	22955.954041
22624.8357	22955.95407
22624.839186	22955.957557
22624.839325	22955.957695
22624.84461	22955.962981
22624.844833	22955.963204
22624.846043	22955.964414
22624.848467	22955.966838
22624.849182	22955.967553
22624.850765	22955.969136
22624.851171	22955.969543
22624.851367	22955.969738
22624.851732	22955.970103
22624.852597	22955.970968
22624.853134	22955.971505
22624.85445	22955.972822
22624.855941	22955.974313
22624.856341	22955.974713
22624.856901	22955.975273
22624.857062	22955.975434
22624.857815	22955.976187
22624.861313	22955.979686
22624.861941	22955.980313
22624.862814	22955.981187
22624.863619	22955.981992
22624.868498	22955.986871
22624.868648	22955.98702
22624.872053	22955.990426
22624.872763	22955.991137
22624.873117	22955.99149
22624.874176	22955.99255
22624.874858	22955.993232
22624.876014	22955.994388
22624.883039	22956.001413
22624.883495	22956.001869
22624.885738	22956.004112
22624.885916	22956.004291
22624.886478	22956.004852
22624.886704	22956.005078
22624.887465	22956.005839
22624.889454	22956.007829
22624.890793	22956.009168
22624.891616	22956.009991
22624.891959	22956.010334
22624.893988	22956.012363
22624.89425	22956.012626
22624.895153	22956.013528
22624.897303	22956.015678
22624.897952	22956.016328
22624.898342	22956.016718
22624.899369	22956.017745
22624.900108	22956.018484
22624.900397	22956.018773
22624.900843	22956.019218
22624.90128	22956.019656
22624.901425	22956.019801
22624.901741	22956.020117
22624.90176	22956.020136
22624.903296	22956.021672
22624.903585	22956.021961
22624.903774	22956.02215
22624.903952	22956.022328
22624.904703	22956.023079
22624.905764	22956.02414
22624.906025	22956.024402
22624.906558	22956.024935
22624.906808	22956.025185
22624.90698	22956.025356
22624.907049	22956.025425
22624.907108	22956.025484
22624.907144	22956.02552
22624.907152	22956.025528
22624.907268	22956.025644
22624.907269	22956.025645
22624.907339	22956.025715
22624.90736	22956.025737
22624.907364	22956.025741
22624.90738	22956.025756
22624.907428	22956.025805
22624.907467	22956.025844
22624.907498	22956.025874
22624.90754	22956.025916
22624.90761	22956.025987
22624.907716	22956.026093
22624.90774	22956.026116
22624.907792	22956.026169
22624.907818	22956.026195
22624.907843	22956.026219
22624.907888	22956.026264
22624.90815	22956.026526
22624.908155	22956.026531
22624.908256	22956.026632
22624.908257	22956.026633
22624.908276	22956.026652
22624.908293	22956.02667
22624.908307	22956.026684
22624.908327	22956.026704
22624.908344	22956.02672
22624.908395	22956.026772
22624.908508	22956.026884
22624.908577	22956.026954
22624.90859	22956.026966
22624.908618	22956.026995
22624.908625	22956.027001
22624.908678	22956.027055
22624.908723	22956.0271
22624.908737	22956.027114
22624.908766	22956.027143
22624.908768	22956.027144
22624.908818	22956.027194
22624.908826	22956.027203
22624.908835	22956.027211
22624.908836	22956.027212
22624.908849	22956.027226
22624.908896	22956.027272
22624.908915	22956.027291
22624.908924	22956.027301
22624.90895	22956.027327
22624.908983	22956.02736
22624.908991	22956.027368
22624.908991	22956.027368
22624.909026	22956.027403
22624.909035	22956.027411
22624.90905	22956.027427
22624.909052	22956.027429
22624.909053	22956.02743
22624.909066	22956.027443
22624.909092	22956.027469
22624.909095	22956.027472
22624.909104	22956.02748
22624.909114	22956.027491
22624.909174	22956.027551
22624.909182	22956.027558
22624.909206	22956.027582
22624.909229	22956.027605
22624.909254	22956.027631
22624.90927	22956.027647
22624.909333	22956.02771
22624.909392	22956.027768
22624.909473	22956.027849
22624.909501	22956.027878
22624.909502	22956.027879
22624.909527	22956.027904
22624.909552	22956.027928
22624.909564	22956.027941
22624.909578	22956.027955
22624.90958	22956.027957
22624.909602	22956.027979
22624.909604	22956.027981
22624.909621	22956.027998
22624.909644	22956.028021
22624.909645	22956.028022
22624.909659	22956.028035
22624.90966	22956.028036
22624.90966	22956.028036
22624.90968	22956.028056
22624.909681	22956.028058
