#ttrig = 89808620.3784
# time 	 unbarycentered time 
23340.224015	23671.407328
23340.230128	23671.413441
23340.23486	23671.418173
23340.23681	23671.420123
23340.23951	23671.422824
23340.24225	23671.425564
23340.248154	23671.431468
23340.254813	23671.438128
23340.257656	23671.440971
23340.259372	23671.442687
23340.270772	23671.454088
23340.271684	23671.455001
23340.274806	23671.458123
23340.291531	23671.47485
23340.295785	23671.479104
23340.296513	23671.479832
23340.29805	23671.481369
23340.304092	23671.487412
23340.304209	23671.487529
23340.307256	23671.490576
23340.314168	23671.497489
23340.317681	23671.501001
23340.320298	23671.503619
23340.331983	23671.515306
23340.332482	23671.515804
23340.339495	23671.522818
23340.351113	23671.534437
23340.354873	23671.538198
23340.360517	23671.543841
23340.362499	23671.545824
23340.378811	23671.562138
23340.388287	23671.571614
23340.38977	23671.573097
23340.392359	23671.575686
23340.392652	23671.57598
23340.399917	23671.583245
23340.400164	23671.583492
23340.403461	23671.58679
23340.406161	23671.58949
23340.408357	23671.591686
23340.408968	23671.592298
23340.412029	23671.595359
23340.417751	23671.601081
23340.423114	23671.606444
23340.427125	23671.610456
23340.436801	23671.620132
23340.443637	23671.626969
23340.444244	23671.627577
23340.448282	23671.631615
23340.450246	23671.633579
23340.456182	23671.639516
23340.457643	23671.640977
23340.467192	23671.650527
23340.467209	23671.650544
23340.469226	23671.652561
23340.479976	23671.663312
23340.485228	23671.668565
23340.491565	23671.674902
23340.497171	23671.680509
23340.499675	23671.683013
23340.514503	23671.697842
23340.522744	23671.706084
23340.525485	23671.708825
23340.528533	23671.711873
23340.549452	23671.732795
23340.557464	23671.740807
23340.56874	23671.752084
23340.573551	23671.756896
23340.582223	23671.765569
23340.592232	23671.775579
23340.595167	23671.778514
23340.597312	23671.780659
23340.597867	23671.781214
23340.601152	23671.784499
23340.607928	23671.791276
23340.611624	23671.794972
23340.636621	23671.819971
23340.645953	23671.829304
23340.651565	23671.834917
23340.66229	23671.845643
23340.667485	23671.850839
23340.667991	23671.851344
23340.671142	23671.854496
23340.671919	23671.855272
23340.671923	23671.855277
23340.672139	23671.855493
23340.672883	23671.856236
23340.672932	23671.856286
23340.673211	23671.856565
23340.673258	23671.856611
23340.673855	23671.857209
23340.674069	23671.857423
23340.674415	23671.857769
23340.674924	23671.858278
23340.675008	23671.858362
23340.675878	23671.859232
23340.676369	23671.859723
23340.677332	23671.860686
23340.677744	23671.861098
23340.678489	23671.861843
23340.678604	23671.861959
23340.678956	23671.86231
23340.679771	23671.863126
23340.680197	23671.863551
23340.681118	23671.864472
23340.682095	23671.86545
23340.685984	23671.869339
23340.688479	23671.871834
23340.690719	23671.874074
23340.691558	23671.874913
23340.693552	23671.876907
23340.693771	23671.877127
23340.694271	23671.877626
23340.695573	23671.878929
23340.69633	23671.879685
23340.702171	23671.885528
23340.703855	23671.887212
23340.713939	23671.897297
23340.715325	23671.898683
23340.716302	23671.89966
23340.724648	23671.908007
23340.727085	23671.910443
23340.729837	23671.913196
23340.73093	23671.914289
23340.732075	23671.915434
23340.732689	23671.916048
23340.734223	23671.917583
23340.736473	23671.919832
23340.738017	23671.921377
23340.738166	23671.921526
23340.740558	23671.923918
23340.740798	23671.924158
23340.741465	23671.924825
23340.741738	23671.925098
23340.742331	23671.925691
23340.743041	23671.926401
23340.743106	23671.926466
