#ttrig = 90890757.3784
# time 	 unbarycentered time 
23666.210205	24069.879883
23666.212768	24069.882446
23666.215209	24069.884888
23666.216064	24069.885742
23666.216186	24069.885864
23666.21704	24069.886719
23666.217162	24069.886841
23666.220702	24069.890381
23666.222289	24069.891968
23666.223388	24069.893066
23666.223754	24069.893433
23666.223754	24069.893433
23666.228636	24069.898315
23666.229247	24069.898926
23666.230101	24069.89978
23666.230711	24069.900391
23666.230833	24069.900513
23666.233519	24069.903198
23666.233641	24069.90332
23666.235472	24069.905151
23666.235838	24069.905518
23666.239011	24069.908691
23666.239256	24069.908936
23666.239256	24069.908936
23666.2395	24069.90918
23666.239622	24069.909302
23666.240598	24069.910278
23666.241819	24069.911499
23666.242429	24069.912109
23666.242551	24069.912231
23666.243284	24069.912964
23666.243406	24069.913086
23666.244138	24069.913818
23666.244748	24069.914429
23666.246213	24069.915894
23666.249021	24069.918701
23666.249509	24069.919189
23666.250607	24069.920288
23666.252804	24069.922485
23666.257199	24069.92688
23666.257443	24069.927124
23666.258419	24069.928101
23666.260128	24069.92981
23666.260861	24069.930542
23666.262814	24069.932495
23666.262936	24069.932617
23666.263668	24069.93335
23666.2644	24069.934082
23666.265011	24069.934692
23666.265621	24069.935303
23666.265865	24069.935547
23666.265987	24069.935669
23666.268428	24069.93811
23666.269893	24069.939575
23666.271846	24069.941528
23666.272212	24069.941895
23666.272823	24069.942505
23666.275386	24069.945068
23666.276851	24069.946533
23666.277705	24069.947388
23666.279536	24069.949219
23666.281489	24069.951172
23666.282588	24069.952271
23666.28271	24069.952393
23666.28332	24069.953003
23666.283808	24069.953491
23666.285029	24069.954712
23666.285639	24069.955322
23666.287348	24069.957031
23666.287714	24069.957397
23666.288935	24069.958618
23666.293817	24069.963501
23666.293939	24069.963623
23666.294061	24069.963745
23666.296381	24069.966064
23666.297479	24069.967163
23666.297601	24069.967285
23666.297723	24069.967407
23666.302118	24069.971802
23666.305535	24069.97522
23666.318352	24069.988037
23666.324943	24069.994629
23666.325798	24069.995483
23666.330192	24069.999878
23666.332267	24070.001953
23666.332511	24070.002197
23666.339102	24070.008789
23666.341177	24070.010864
23666.345205	24070.014893
23666.345449	24070.015137
23666.346914	24070.016602
23666.348989	24070.018677
23666.352041	24070.021729
23666.353628	24070.023315
23666.356435	24070.026123
23666.360707	24070.030396
23666.362782	24070.032471
23666.368031	24070.03772
