#ttrig = 90918480.3784
# time 	 unbarycentered time 
17894.872335	18299.800537
17894.873922	18299.802124
17894.875753	18299.803955
17894.889425	18299.817627
17894.896871	18299.825073
17894.899312	18299.827515
17894.903706	18299.831909
17894.917378	18299.845581
17894.927265	18299.855469
17894.939838	18299.868042
17894.940326	18299.86853
17894.940692	18299.868896
17894.944964	18299.873169
17894.953753	18299.881958
17894.959856	18299.888062
17894.960467	18299.888672
17894.964983	18299.893188
17894.966692	18299.894897
17894.985368	18299.913574
17894.988298	18299.916504
17894.992326	18299.920532
17895.000626	18299.928833
17895.001725	18299.929932
17895.015518	18299.943726
17895.020523	18299.94873
17895.020645	18299.948853
17895.020645	18299.948853
17895.021988	18299.950195
17895.024917	18299.953125
17895.032973	18299.961182
17895.04457	18299.972778
17895.049086	18299.977295
17895.058485	18299.986694
17895.05995	18299.988159
17895.060194	18299.988403
17895.068372	18299.996582
17895.076795	18300.005005
17895.082898	18300.011108
17895.086682	18300.014893
17895.093152	18300.021362
17895.094006	18300.022217
17895.097424	18300.025635
17895.129161	18300.057373
17895.138316	18300.066528
17895.142344	18300.070557
17895.153696	18300.081909
17895.15748	18300.085693
17895.176644	18300.104858
17895.178841	18300.107056
17895.187386	18300.115601
17895.189827	18300.118042
17895.198494	18300.126709
17895.211311	18300.139526
17895.219001	18300.147217
17895.227057	18300.155273
17895.231085	18300.159302
17895.233893	18300.162109
17895.2367	18300.164917
17895.242315	18300.170532
17895.250982	18300.179199
17895.254888	18300.183105
17895.256109	18300.184326
17895.258306	18300.186523
17895.265752	18300.19397
17895.268559	18300.196777
17895.272588	18300.200806
17895.27747	18300.205688
17895.281132	18300.209351
17895.281254	18300.209473
17895.281865	18300.210083
17895.287113	18300.215332
17895.289188	18300.217407
17895.292728	18300.220947
17895.293583	18300.221802
17895.313357	18300.241577
17895.3147	18300.24292
17895.31531	18300.24353
17895.31763	18300.24585
17895.32532	18300.25354
17895.330813	18300.259033
17895.333986	18300.262207
17895.335329	18300.26355
17895.341677	18300.269897
17895.347536	18300.275757
17895.350709	18300.278931
17895.351564	18300.279785
17895.352662	18300.280884
17895.360353	18300.288574
17895.367554	18300.295776
17895.369996	18300.298218
17895.372315	18300.300537
17895.381592	18300.309814
17895.388916	18300.317139
17895.397338	18300.325562
17895.402465	18300.330688
17895.406249	18300.334473
17895.41101	18300.339233
17895.418211	18300.346436
17895.422362	18300.350586
17895.427855	18300.356079
17895.432981	18300.361206
17895.449582	18300.377808
17895.45361	18300.381836
17895.454221	18300.382446
17895.46008	18300.388306
17895.469235	18300.397461
17895.473629	18300.401855
17895.478023	18300.40625
17895.491451	18300.419678
17895.49316	18300.421387
17895.502314	18300.430542
17895.506221	18300.434448
17895.513544	18300.441772
17895.522455	18300.450684
17895.531366	18300.459595
17895.531366	18300.459595
17895.537713	18300.465942
17895.541864	18300.470093
17895.546136	18300.474365
17895.553826	18300.482056
17895.559807	18300.488037
17895.567253	18300.495483
17895.580558	18300.508789
17895.591178	18300.519409
17895.598746	18300.526978
17895.617056	18300.545288
17895.634999	18300.563232
17895.638783	18300.567017
17895.645741	18300.573975
17895.646229	18300.574463
17895.648305	18300.576538
17895.657826	18300.58606
17895.660511	18300.588745
17895.661976	18300.59021
