#ttrig = 89863692.3784
# time 	 unbarycentered time 
14020.917338	14355.461548
14020.927103	14355.471313
14020.930643	14355.474854
14020.932229	14355.47644
14020.935037	14355.479248
14020.937112	14355.481323
14020.9542	14355.498413
14020.956519	14355.500732
14020.957374	14355.501587
14020.964087	14355.508301
14020.965552	14355.509766
14020.966528	14355.510742
14020.971166	14355.515381
14020.973241	14355.517456
14020.973363	14355.517578
14020.974462	14355.518677
14020.981541	14355.525757
14020.986424	14355.53064
14020.992771	14355.536987
14020.998019	14355.542236
14021.004489	14355.548706
14021.010836	14355.555054
14021.014253	14355.558472
14021.015596	14355.559814
14021.018037	14355.562256
14021.01999	14355.564209
14021.01999	14355.564209
14021.032318	14355.576538
14021.032928	14355.577148
14021.034393	14355.578613
14021.03952	14355.58374
14021.041961	14355.586182
14021.050139	14355.59436
14021.05197	14355.596191
14021.052214	14355.596436
14021.054411	14355.598633
14021.064664	14355.608887
14021.091029	14355.635254
14021.096765	14355.640991
14021.107507	14355.651733
14021.121055	14355.665283
14021.12728	14355.671509
14021.134726	14355.678955
14021.144979	14355.689209
14021.145955	14355.690186
14021.146932	14355.691162
14021.170123	14355.714355
14021.171344	14355.715576
14021.178911	14355.723145
14021.196122	14355.740356
14021.200638	14355.744873
14021.202835	14355.74707
14021.203445	14355.747681
14021.208205	14355.752441
14021.208205	14355.752441
14021.211501	14355.755737
14021.230664	14355.774902
14021.231641	14355.775879
14021.234326	14355.778564
14021.241894	14355.786133
14021.244701	14355.78894
14021.280342	14355.824585
14021.282539	14355.826782
14021.312322	14355.856567
14021.317448	14355.861694
14021.336123	14355.880371
14021.339785	14355.884033
14021.364197	14355.908447
14021.364563	14355.908813
14021.371399	14355.915649
14021.372741	14355.916992
14021.380675	14355.924927
14021.382506	14355.926758
14021.383116	14355.927368
14021.390562	14355.934814
14021.392759	14355.937012
14021.398862	14355.943115
14021.400571	14355.944824
14021.402402	14355.946655
14021.406185	14355.950439
14021.407772	14355.952026
14021.409603	14355.953857
14021.419246	14355.963501
14021.419856	14355.964111
14021.420955	14355.96521
14021.422786	14355.967041
14021.426814	14355.971069
14021.431818	14355.976074
14021.43548	14355.979736
14021.436822	14355.981079
14021.441094	14355.985352
14021.442803	14355.987061
14021.445122	14355.98938
14021.455864	14356.000122
14021.45745	14356.001709
14021.458305	14356.002563
14021.458427	14356.002686
14021.465628	14356.009888
14021.468314	14356.012573
14021.473806	14356.018066
14021.479177	14356.023438
14021.479421	14356.023682
14021.484792	14356.029053
14021.490406	14356.034668
14021.494556	14356.038818
14021.499195	14356.043457
14021.507006	14356.05127
14021.509814	14356.054077
14021.514086	14356.05835
14021.517137	14356.061401
14021.519701	14356.063965
14021.528489	14356.072754
14021.537887	14356.082153
14021.541549	14356.085815
14021.543502	14356.087769
14021.545455	14356.089722
14021.54814	14356.092407
14021.549239	14356.093506
14021.551802	14356.096069
14021.557051	14356.101318
14021.560468	14356.104736
14021.562055	14356.106323
14021.569379	14356.113647
14021.570721	14356.11499
14021.574993	14356.119263
14021.588786	14356.133057
14021.599771	14356.144043
14021.600016	14356.144287
14021.600748	14356.14502
14021.606729	14356.151001
14021.611977	14356.15625
14021.616982	14356.161255
14021.620155	14356.164429
14021.625892	14356.170166
14021.632239	14356.176514
14021.637976	14356.182251
14021.642492	14356.186768
14021.65067	14356.194946
14021.668979	14356.213257
14021.669467	14356.213745
14021.718901	14356.263184
14021.727445	14356.271729
14021.72891	14356.273193
14021.760646	14356.304932
14021.761988	14356.306274
14021.762598	14356.306885
14021.764918	14356.309204
14021.770044	14356.314331
14021.782494	14356.326782
14021.784447	14356.328735
14021.785546	14356.329834
14021.808737	14356.353027
14021.811422	14356.355713
14021.822041	14356.366333
14021.823262	14356.367554
14021.83559	14356.379883
14021.838031	14356.382324
14021.847308	14356.391602
14021.864274	14356.408569
14021.865006	14356.409302
14021.871353	14356.415649
14021.871719	14356.416016
14021.875503	14356.4198
14021.876846	14356.421143
14021.881972	14356.42627
14021.904065	14356.448364
14021.904798	14356.449097
14021.90553	14356.449829
14021.910656	14356.454956
14021.922984	14356.467285
14021.939951	14356.484253
14021.946176	14356.490479
14021.94764	14356.491943
14021.95533	14356.499634
14021.956429	14356.500732
14021.957161	14356.501465
14021.959846	14356.50415
14021.966193	14356.510498
14021.968024	14356.512329
14021.96839	14356.512695
14021.972174	14356.516479
14021.975836	14356.520142
14021.975958	14356.520264
14021.999515	14356.543823
14022.00037	14356.544678
14022.002689	14356.546997
14022.00513	14356.549438
14022.006839	14356.551147
14022.006839	14356.551147
14022.009768	14356.554077
14022.01221	14356.556519
14022.020144	14356.564453
14022.021974	14356.566284
14022.022585	14356.566895
14022.028688	14356.572998
14022.039429	14356.58374
14022.054442	14356.598755
14022.07153	14356.615845
14022.082638	14356.626953
14022.095942	14356.640259
14022.10412	14356.648438
14022.109491	14356.653809
14022.137198	14356.681519
14022.140982	14356.685303
14022.145865	14356.690186
14022.150991	14356.695313
14022.170398	14356.714722
14022.188829	14356.733154
14022.193834	14356.738159
14022.203721	14356.748047
14022.203843	14356.748169
14022.205796	14356.750122
14022.20665	14356.750977
14022.213485	14356.757813
14022.217025	14356.761353
14022.234357	14356.778687
14022.270853	14356.815186
14022.283181	14356.827515
14022.291115	14356.835449
14022.294289	14356.838623
14022.295875	14356.84021
14022.301978	14356.846313
14022.302711	14356.847046
14022.314184	14356.858521
14022.329442	14356.873779
14022.336521	14356.880859
14022.34177	14356.886108
14022.343112	14356.887451
14022.350924	14356.895264
14022.355196	14356.899536
14022.361665	14356.906006
14022.362398	14356.906738
14022.384368	14356.928711
14022.384734	14356.929077
14022.407071	14356.951416
14022.413296	14356.957642
14022.426357	14356.970703
14022.438685	14356.983032
14022.439661	14356.984009
14022.441858	14356.986206
14022.442468	14356.986816
14022.449304	14356.993652
14022.45736	14357.001709
14022.461021	14357.005371
14022.46151	14357.005859
14022.471885	14357.016235
14022.474692	14357.019043
14022.476157	14357.020508
14022.477988	14357.022339
14022.480673	14357.025024
14022.480917	14357.025269
14022.482504	14357.026855
14022.483969	14357.02832
14022.483969	14357.02832
