#ttrig = 89837420.3784
# time 	 unbarycentered time 
10645.260511	10977.615768
10645.268886	10977.624145
10645.272796	10977.628055
10645.275313	10977.630571
10645.277416	10977.632675
10645.277966	10977.633224
10645.279216	10977.634475
10645.294424	10977.649684
10645.300488	10977.655748
10645.303677	10977.658938
10645.312608	10977.66787
10645.31793	10977.673192
10645.334376	10977.689639
10645.334466	10977.68973
10645.356145	10977.711411
10645.359119	10977.714384
10645.362449	10977.717714
10645.379712	10977.734979
10645.384034	10977.739302
10645.386552	10977.741819
10645.390129	10977.745397
10645.397905	10977.753174
10645.400295	10977.755564
10645.400584	10977.755853
10645.402697	10977.757966
10645.42726	10977.782531
10645.448676	10977.803948
10645.452979	10977.808251
10645.457839	10977.813112
10645.471835	10977.827109
10645.473046	10977.828321
10645.474021	10977.829295
10645.474896	10977.830171
10645.479043	10977.834318
10645.484937	10977.840213
10645.495876	10977.851152
10645.497624	10977.852901
10645.502671	10977.857947
10645.503968	10977.859245
10645.509546	10977.864823
10645.522707	10977.877985
10645.527725	10977.883004
10645.529845	10977.885124
10645.53037	10977.885649
10645.530859	10977.886138
10645.544406	10977.899686
10645.550606	10977.905887
10645.554517	10977.909798
10645.56099	10977.916271
10645.561032	10977.916313
10645.577057	10977.93234
10645.578417	10977.9337
10645.587648	10977.942931
10645.588874	10977.944158
10645.592098	10977.947382
10645.611427	10977.966712
10645.61218	10977.967465
10645.616511	10977.971797
10645.62867	10977.983956
10645.631282	10977.986568
10645.632384	10977.987671
10645.643797	10977.999084
10645.646914	10978.002202
10645.650866	10978.006154
10645.651327	10978.006616
10645.653873	10978.009162
10645.660848	10978.016137
10645.682352	10978.037642
10645.693458	10978.04875
10645.699206	10978.054499
10645.700607	10978.0559
10645.706337	10978.06163
10645.707545	10978.062838
10645.710876	10978.066169
10645.712733	10978.068027
10645.718603	10978.073896
10645.721608	10978.076902
10645.734103	10978.089398
10645.737336	10978.092631
10645.761542	10978.116839
10645.763971	10978.119268
10645.765606	10978.120903
10645.786243	10978.141542
10645.789796	10978.145096
10645.79732	10978.15262
10645.808675	10978.163976
10645.81442	10978.169722
10645.818238	10978.17354
10645.831052	10978.186355
10645.833472	10978.188775
10645.841768	10978.197071
10645.848637	10978.203941
10645.853163	10978.208467
10645.860847	10978.216152
10645.868188	10978.223494
10645.884104	10978.239411
10645.884897	10978.240204
10645.888673	10978.24398
10645.8897	10978.245008
10645.889713	10978.24502
10645.901178	10978.256486
10645.901369	10978.256678
10645.902231	10978.25754
10645.904697	10978.260006
10645.910431	10978.26574
10645.910459	10978.265768
10645.921073	10978.276382
10645.927878	10978.283189
10645.930496	10978.285807
10645.931322	10978.286633
10645.934701	10978.290011
10645.944611	10978.299923
10645.945714	10978.301025
10645.946037	10978.301349
10645.954872	10978.310184
10645.963548	10978.318861
10645.971014	10978.326327
10645.979629	10978.334944
10645.99761	10978.352926
10645.99939	10978.354706
10646.006816	10978.362133
10646.010905	10978.366221
10646.019201	10978.374518
10646.020669	10978.375987
10646.027494	10978.382813
10646.03302	10978.388339
10646.03898	10978.3943
10646.050654	10978.405974
10646.063894	10978.419215
10646.074725	10978.430047
10646.077702	10978.433024
10646.080454	10978.435777
10646.081436	10978.436758
10646.081745	10978.437067
10646.087473	10978.442796
10646.099365	10978.454689
10646.101897	10978.457221
10646.103187	10978.458511
10646.104576	10978.4599
10646.105814	10978.461139
10646.106623	10978.461947
10646.108532	10978.463857
10646.111532	10978.466857
10646.116838	10978.472163
10646.129732	10978.485059
10646.129939	10978.485266
10646.13659	10978.491917
10646.137821	10978.493148
10646.138629	10978.493956
10646.14056	10978.495887
10646.164366	10978.519695
10646.169985	10978.525314
10646.179514	10978.534844
10646.184987	10978.540318
10646.192372	10978.547703
10646.20295	10978.558282
10646.207348	10978.56268
10646.219115	10978.574449
10646.219222	10978.574555
10646.224461	10978.579795
10646.227367	10978.582701
10646.234343	10978.589678
10646.240267	10978.595602
10646.241673	10978.597008
10646.245973	10978.601309
10646.250561	10978.605897
10646.25147	10978.606806
10646.252392	10978.607728
10646.255169	10978.610505
10646.265005	10978.620342
10646.267385	10978.622723
10646.270034	10978.625371
10646.271954	10978.627292
10646.277304	10978.632642
10646.281069	10978.636407
10646.282522	10978.63786
10646.292215	10978.647554
10646.293641	10978.64898
10646.295273	10978.650613
10646.297733	10978.653072
10646.300135	10978.655475
10646.302281	10978.65762
10646.315118	10978.670459
10646.31657	10978.671911
10646.321551	10978.676892
10646.321779	10978.67712
10646.322452	10978.677794
10646.323834	10978.679175
10646.324684	10978.680026
10646.330635	10978.685977
10646.340795	10978.696138
10646.346951	10978.702294
10646.351184	10978.706528
10646.351295	10978.706639
10646.356351	10978.711695
10646.359477	10978.714822
10646.35966	10978.715004
10646.362742	10978.718087
10646.366789	10978.722134
10646.368294	10978.723639
10646.374584	10978.72993
10646.378213	10978.733559
10646.378685	10978.734031
10646.382072	10978.737418
10646.387873	10978.743219
10646.388129	10978.743476
10646.395948	10978.751295
10646.398666	10978.754014
10646.401297	10978.756645
10646.404554	10978.759902
10646.425771	10978.78112
10646.438371	10978.793721
10646.445901	10978.801252
10646.449262	10978.804613
10646.454877	10978.810229
10646.455779	10978.811131
10646.456434	10978.811786
10646.456995	10978.812347
10646.470525	10978.825878
10646.472954	10978.828307
10646.475088	10978.830441
