# Reference time: 2020-04-15 08:48:05.557
#
# Each line represents a single LED (low energy detector) count.
#
# tus -- time of the count, microsecond
# erg -- energy of the count in channel units
# dau -- DAU (detector assembly unit) of the count (there are four DAUs: 0, 1, 2, 3)
# add -- address of the count within the DAU (each DAU has 32 addresses: [0:31])
# chn -- channel of the count for each address (each address has 128 channels: [0:127])
# mlh -- "multihit" flag of the count, meaning how many simultaneous counts were detected: [0:3]
#         0 --> a single count
#         1 --> 2 counts
#         2 --> 3 counts
#         3 --> 4+ counts
#
#
#
#     tus      erg   dau  add    chn   mlh
#
 -967455     654    2     1     92    0 
 -966883     348    1     5     53    0 
 -966832     736    2     7     61    1 
 -966504    1023    3    21    127    1 
 -966478     924    1    23     33    0 
 -966323     760    1    21     85    1 
 -966200     203    3     7     23    0 
 -965833    1023    1    21    127    1 
 -965567     180    1    20    119    0 
 -965424     522    1    18     95    0 
 -965239     436    3    20      5    0 
 -964943    1008    1    29    127    1 
 -964396     900    2    11    118    0 
 -964019     328    1    22     24    0 
 -963902     606    3    15     32    0 
 -963902     284    3    22     13    0 
 -963831    1023    0     9    127    1 
 -963763     500    2    14     96    0 
 -963442     205    2     6     90    0 
 -963270     330    0    12     75    0 
 -963150     385    3    13     65    0 
 -962909     340    2    12     49    0 
 -962886     917    1    22     48    0 
 -962620    1023    2     5    119    1 
 -961952     886    0    28     40    0 
 -961952    1008    1    31     87    1 
 -961952     526    2     0     49    0 
 -961952     661    3    24    126    0 
 -961952     506    0    19    113    0 
 -961952    1023    1     7    127    1 
 -961952    1021    1    15    127    2 
 -961952    1023    1    23    127    3 
 -961949     166    1    11    125    1 
 -961947     170    1     2     96    0 
 -961450     591    2    29     24    0 
 -961436     582    3    17     20    0 
 -961333     396    1    28    118    0 
 -961257     876    3    16    107    0 
 -961257     864    3    24     63    3 
 -960850     232    0     0     27    0 
 -960808     334    1    17    119    0 
 -960338     657    0    29     38    0 
 -959953     285    0    23     97    0 
 -959714     634    1     4     95    0 
 -958963    1014    2     9    123    1 
 -958896     850    0     7     63    0 
 -958895     393    1    17     92    0 
 -958895     583    2     2     57    0 
 -958895     154    1    10    102    0 
 -958861     205    0     4     36    0 
 -958759    1023    0    15    125    2 
 -958754     292    0    15    127    1 
 -958737     250    1     4    122    0 
 -958588     459    3    14     37    0 
 -958349     664    1    15      8    0 
 -958187     694    0    27     70    0 
 -958163     404    1    13    104    0 
 -958037     896    2    26     36    0 
 -957914     224    0    12     30    0 
 -957804     861    0    18     63    0 
 -957804     714    2    27     90    0 
 -957804    1023    2     1    126    1 
 -957804    1014    2     9    126    1 
 -957803     543    1     9    112    0 
 -957784     289    1    14    114    0 
 -957726    1023    2    31    126    3 
 -957725     768    3     5     27    0 
 -957725     594    1    10    105    0 
 -957725     659    2    14     90    0 
 -957725     883    3    18     23    0 
 -957725    1023    2    23    127    3 
 -957723     183    2    29     90    0 
 -957721     167    3     5     15    0 
 -957196    1021    1    11    127    3 
 -956704     349    3    24    111    0 
 -956418     308    0    30     19    0 
 -956418     673    0    22    112    0 
 -956343     300    1    28     22    0 
 -955622     892    2    26     18    0 
 -955613     641    1    12    113    0 
 -955269     874    1    14     92    0 
 -954882     266    3    29    112    0 
 -954234     282    0    18    106    0 
 -952720     321    2     0    115    0 
 -952720     253    3    22    124    0 
 -952720    1014    2     9    119    1 
 -951876    1022    0    27     62    1 
 -951876    1023    1     3    127    1 
 -951872     931    1     3    127    0 
 -951872     880    0    26     67    0 
 -951800     433    1    14     94    0 
 -951713     164    3    21    121    0 
 -951686     342    2     6    104    0 
 -951374     160    0    18     13    0 
 -951331     223    1    22     85    0 
 -951040     192    2    19     88    0 
 -950714     853    0     2    125    1 
 -950714    1023    0    13    111    2 
 -950421     229    3    28      0    0 
 -950401     848    0     5     81    0 
 -950401     864    1    31      4    0 
 -950375     227    2    19     17    0 
 -950339     760    1     2     48    0 
 -950240    1023    1     3    107    1 
 -948958     569    0    27     11    0 
 -948569     838    0    26     93    0 
 -948569     361    2    29     89    0 
 -948569     375    1     2     84    0 
 -948569     207    0     0     96    0 
 -948569     366    2     2    107    0 
 -948569     848    0    11     28    0 
 -948569     431    0    19    105    0 
 -948439     892    2    12    123    0 
 -948278     786    0    31     82    0 
 -948278     685    3    23     47    0 
 -948278     994    0     7    127    2 
 -948278     898    0    12     45    0 
 -947729     880    1     9     65    0 
 -947594     859    0    20     60    0 
 -947386     231    3    25     60    0 
 -947245     218    1    12      3    0 
 -947003     374    1     1     51    0 
 -946086     192    3     9     90    0 
 -945976     351    3    27     51    0 
 -945524     657    3     6     75    0 
 -945282     332    3    29    112    0 
 -945066     597    3    27      4    0 
 -944232     226    3    15      2    0 
 -943914    1008    1    30     39    2 
 -943914    1023    3    21     63    1 
 -943913     943    3     3    126    1 
 -943913     399    1    19    122    0 
 -943682     449    0    16     29    0 
 -943682     881    0    24     63    1 
 -942262     910    2    29    100    0 
 -942262     895    3     7    119    2 
 -942039     886    0     8     36    0 
 -941054     180    3     5     73    0 
 -940839     524    2    31      3    0 
 -940060     259    0    29     95    0 
 -939855     879    0     7    127    1 
 -939744     433    3    22     93    0 
 -938361     185    1    27     17    0 
 -938250     321    2     9     44    0 
 -937411     914    1    21     90    0 
 -937294     767    0    27     64    0 
 -937294     996    1     5    127    1 
 -937294    1023    0    15    126    1 
 -937137     469    0     2     19    0 
 -936985     223    2     9     78    0 
 -936904     875    3    16    111    1 
 -936904     370    1    17     13    0 
 -936904     654    3     9     19    0 
 -936901     875    3    16     63    2 
 -936756     209    0     7     98    0 
 -936653     879    1     8     47    0 
 -936551     173    3     2    101    0 
 -936525     507    2     1     71    0 
 -936307     863    3    26    122    0 
 -935766     898    2    22     37    0 
 -935249     679    0    31     80    0 
 -934994    1008    1    31    127    2 
 -934967     225    1     9     25    0 
 -934967     348    1    21     99    0 
 -934875     691    3     9    114    0 
 -934869     426    0    29     34    0 
 -934446     865    0    23     48    0 
 -934163     462    1    25     17    0 
 -934162     209    0    15    115    0 
 -933553     257    1    20     86    0 
 -933511     233    2    11     63    0 
