# Reference time: 2020-04-15 08:48:05.557
#
# Each line represents a single LED (low energy detector) count.
#
# tus -- time of the count, microsecond
# erg -- energy of the count in channel units
# dau -- DAU (detector assembly unit) of the count (there are four DAUs: 0, 1, 2, 3)
# add -- address of the count within the DAU (each DAU has 32 addresses: [0:31])
# chn -- channel of the count for each address (each address has 128 channels: [0:127])
# mlh -- "multihit" flag of the count, meaning how many simultaneous counts were detected: [0:3]
#         0 --> a single count
#         1 --> 2 counts
#         2 --> 3 counts
#         3 --> 4+ counts
#
#
#
#     tus      erg   dau  add    chn   mlh
#
 -662184     227    3     6     60    0 
 -662166     549    3    12     36    0 
 -662146     823    2    12    110    0 
 -662049     763    3     4     15    1 
 -662044     166    3     4     17    0 
 -661985     722    3    10     35    0 
 -661985     232    2    12     51    0 
 -661136     915    0    15    100    0 
 -661136     269    0     7     31    0 
 -661129     900    2    14     38    0 
 -661129     312    2    22    124    0 
 -660845     261    0     9     96    0 
 -660749     199    3     0     17    0 
 -660667     467    2    21    115    0 
 -660173     214    2    22     43    0 
 -659687     556    3    17     38    0 
 -659686     205    1     7     87    0 
 -659398     395    3    12     79    0 
 -659258     915    1    22    127    1 
 -658957     902    2    25     36    0 
 -658848    1008    1    29     62    2 
 -658657     180    3    18     93    0 
 -658104     873    1    14    116    0 
 -658041     468    0     6    100    0 
 -658041    1006    3    29    127    1 
 -657828     389    2    22     74    0 
 -657572     329    0     1     81    0 
 -657333     877    2    18     95    0 
 -656884     248    2    11     80    0 
 -656855     377    0    26     15    0 
 -656790     318    0    16     25    0 
 -656664     638    2    21     96    0 
 -656508     357    1    26     44    0 
 -656128     859    0    20     64    0 
 -656128     405    1    28     93    0 
 -655900     209    1    22     63    0 
 -655840     213    2    14      3    0 
 -655285     911    2    29     81    0 
 -654727     171    3    15    118    0 
 -654597     848    0     4     27    0 
 -653534     374    2    27     28    0 
 -653098     994    0     7    119    1 
 -652906     914    2     2     13    1 
 -652901     154    2     2      3    0 
 -652879     509    1     2    121    0 
 -652782     890    2    28     59    0 
 -652669    1003    1    11    125    1 
 -652038     783    2     8      9    1 
 -651608    1006    3    31    127    1 
 -651349     488    0    12     46    0 
 -651060     757    0    31     48    0 
 -651030     705    1    25    119    1 
 -651030     246    3    14     46    0 
 -651030     270    3     1    108    0 
 -650967     429    3    21     33    0 
 -650838     412    2    11     67    0 
 -650397     863    0    16    105    0 
 -650338     849    0    20     69    0 
 -650338     459    3    25     29    0 
 -649743     790    0     8    111    1 
 -649569     881    0    24     40    0 
 -649555    1023    2     7     41    1 
 -649554     760    0     3     20    0 
 -649415     743    3     2     44    0 
 -649410     165    3     2     51    0 
 -648798     260    3    17     87    0 
 -648269     874    0     1     66    0 
 -648225     437    3    24     65    0 
 -647899     342    2    15     94    0 
 -647797     686    2    18     93    0 
 -647648     644    3    25     95    0 
 -647648     303    3    17     61    0 
 -647168     315    2     0     24    0 
 -646528     696    3    27    124    0 
 -646254     852    3    14     16    0 
 -646042     868    1    30     94    0 
 -645695    1008    1    31    102    1 
 -645599     918    1     7     20    0 
 -645477     542    2     4    116    0 
 -644752     856    0    18     51    0 
 -644751     352    2     1     39    0 
 -644674    1022    0    31    123    1 
 -644533     928    1     6     49    0 
 -644533     411    0    30    124    0 
 -644524     307    2    14     90    0 
 -644382     914    0    15    121    0 
 -644382     608    0    20     69    0 
 -643889     748    1     7    114    0 
 -643889     598    2     3     75    0 
 -643889     783    1    12     53    0 
 -643768     183    3     4     98    0 
 -643585     643    2    31     11    0 
 -643248     712    3    13      1    0 
 -643181     856    0    17    116    0 
 -642179     879    1     9     63    0 
 -642108     747    3     5     30    0 
 -642108     904    2     5    126    2 
 -642108     880    3    29     34    1 
 -642103     166    2     5     92    0 
 -641935     925    1    17     82    0 
 -641907     741    1     0     49    0 
 -641820     206    3    23     80    0 
 -641813     533    1    29     65    0 
 -641163     213    1    15     51    0 
 -641068     203    3    16    108    0 
 -640392     907    2     6     68    0 
 -640177     618    1    12     70    0 
 -639949     427    3     4     24    0 
 -639949     353    1    16     71    0 
 -639949     419    3    19     30    0 
 -639495     353    2    16     64    0 
 -639239     245    0    14    113    0 
 -638993     390    3    22     30    0 
 -638758     672    1    21      9    0 
 -637926     871    2    23    122    0 
 -637458     889    2    21     76    0 
 -636892     167    2    28     78    0 
 -636358     808    1    22    124    0 
 -635914     268    1    31     82    0 
 -635288     307    3    21     20    0 
 -635282     528    0    15    125    1 
 -634281     889    0    11     76    0 
 -634281     502    1     2     39    0 
 -634281     514    3    16     39    0 
 -634281    1022    0    27    127    3 
 -634281     999    3     9     95    2 
 -634280     202    1    13    115    0 
 -634237     780    3    30     48    0 
 -633872     447    3    30    118    0 
 -633398     458    3    13    110    1 
 -632198     859    3    11     70    0 
 -632197     867    1    25     26    0 
 -632197     565    3    22     28    0 
 -632197     637    1    16     92    0 
 -631204     889    3    28     33    0 
 -631024     668    3     1     84    0 
 -630358     169    3    26     46    0 
 -630358     245    1    21     33    0 
 -629818     916    2     2     88    0 
 -629339    1023    1    19    127    1 
 -629315     533    2    19    102    0 
 -628781     405    1    24     42    0 
 -628318     890    2    28     59    0 
 -628181     360    0    11     10    0 
 -628035     366    1    28     68    0 
 -627933     731    0    10     89    0 
 -627933     843    0    19      7    0 
 -627264     197    1     1     93    0 
 -627206     865    1    31     17    0 
 -626829     743    1    22     51    0 
 -626789     377    2    27     73    0 
 -626742     994    0     7     87    2 
 -626717     884    3    30     48    0 
 -626717     999    3    15    126    1 
 -626249     288    2    10    121    0 
 -625711     824    1    29      3    0 
 -625711     517    3    16      5    0 
 -625497     943    1     4      4    0 
 -624436     851    0     7     46    0 
 -624315     394    0     0    119    0 
 -623625     266    3    28    104    0 
 -623625     277    2     5     30    0 
 -623605     566    2     8     87    0 
 -623540     179    2    24     13    0 
 -623264     858    0    20    127    1 
 -623170    1014    2    15    127    1 
 -622941     426    3     1     94    0 
 -622585     601    1    27     23    0 
 -622530     906    2     5     70    0 
 -622328     324    1     9    127    0 
 -622293     244    0    13     32    0 
 -621952     504    1    14    103    0 
 -621839     407    1     4     16    0 
 -621304     249    3     7     51    0 
 -621116     867    1    30      8    0 
 -621101     674    0     7     95    0 
 -620510     281    1    29    124    0 
 -619422     213    1    21     17    0 
 -619247     897    2    14     16    0 
 -618928     647    3     9    112    0 
 -618836     886    0    29     29    0 
 -618719     530    0    28     83    0 
 -617807     874    1    12      1    0 
 -617798     683    0     4     57    0 
 -617798     905    2    17     94    0 
 -617798     999    3    15     63    2 
 -617798    1008    1    29     45    1 
 -617798     945    2     1    110    1 
 -617798     881    0    19    118    1 
 -617798    1023    1     7    127    1 
 -617798     943    3     7    126    3 
 -617798     886    2    10      9    0 
 -617798    1022    0    31     31    1 
 -617798    1023    3    23    127    3 
 -617798    1021    1    15    127    1 
 -617798    1006    3    31    127    1 
 -617798    1023    1    21    127    1 
 -617789     881    1    12     63    0 
 -617693     691    2     3     31    1 
 -617609     822    0    25     29    1 
 -617609     370    1     4     42    0 
 -617178     907    2    13     49    0 
 -617178     788    1    15     75    0 
 -617173     172    2    13      8    0 
 -616932     864    3     9     99    0 
 -616441     867    1    30     31    0 
 -616441    1023    1    23    123    1 
 -616363    1023    2    31    121    1 
 -616315     470    3    13     24    0 
 -616311     388    0    22    126    0 
 -615781     856    0    17     11    0 
 -615780     858    2    16     40    0 
 -615780     884    0     8     71    0 
 -615082     169    3    11    105    0 
 -614859     224    3    31    118    0 
 -614775     255    2    16     33    0 
 -614170     302    2     1     12    0 
 -613168     183    3    26     15    0 
 -613117     173    0     4     12    0 
 -612917     473    0    13     67    0 
 -612506     765    2     9    125    0 
 -611973     555    1    21      1    0 
 -610566     267    2    23     93    0 
 -610566     358    3    22     42    0 
 -610430     182    2    30    110    0 
 -609928     210    2    22     28    0 
 -609336     387    3    16     87    0 
 -608413    1023    3    23     94    2 
 -608029     929    1     3    116    0 
 -607893     680    0    10     77    0 
 -607863    1023    2    30      7    1 
 -607858     151    2    28      6    0 
 -607854     607    2    22      4    0 
 -607671     492    0     9     22    0 
 -607151     294    0     7     17    0 
 -607095    1021    1    13    126    1 
 -606849     159    2    11    120    0 
 -606765     419    0    19     41    0 
 -606366     219    2    14    104    0 
 -605755     216    2    17    117    0 
 -605741    1023    3    23    126    3 
 -605479     900    2    10    125    0 
 -605478     649    3     4     74    0 
 -605412     698    3    26    114    0 
 -605200     251    0    13    102    0 
 -604841    1023    0    15    119    3 
 -604841    1010    0    23    127    1 
 -604841    1022    0    31     95    2 
 -604840    1023    1     3    111    1 
 -604840    1023    2    23    127    2 
 -604840    1023    3    23    127    2 
 -604840    1021    1    15    122    2 
 -604840    1023    2     7    127    3 
 -604840     904    3    31    127    3 
 -604840    1014    2    15    127    1 
 -604838     564    3    31     90    2 
 -604836     274    0    19     71    1 
 -604670     491    0    29    117    0 
 -604590     470    0    24      9    0 
 -604437     885    0    31     89    0 
 -604437     826    3    31     66    0 
 -604437    1023    1     5    119    1 
 -604437     999    3    14     90    1 
 -604100     863    0     3     87    1 
 -604100    1023    0    11     47    1 
 -604100    1010    0    22    100    1 
 -603760     898    2    22     54    0 
 -603477     783    3     2     13    0 
 -602755     826    2    24     54    0 
 -602754     193    3     3     14    0 
 -602705     866    0     3     20    0 
 -602695     867    0     3     20    0 
 -602344     588    0    18     11    0 
 -602344     442    3    23    127    1 
 -602311     236    1    17     18    0 
 -602180     659    0    25    114    0 
 -600619     203    2    23      4    0 
 -600103     900    2     9    124    0 
 -600053     881    3    30     30    1 
 -599562     856    0    21     55    0 
 -599413     267    0    28     64    0 
 -599224     370    3     1     77    0 
 -598815     282    1     0     65    0 
 -598797     701    1     7     80    0 
 -598597     329    1    17     34    0 
 -598187     816    1    23    101    0 
 -598154     932    1     1     61    0 
 -597143     416    2     0     90    0 
 -597132    1023    3    17    113    1 
 -597128     905    2     3     92    0 
 -596990     877    0    26     29    0 
 -596990     897    2    25     63    0 
 -596990     751    2    20     21    0 
 -596616     245    1    13    107    0 
 -596532     252    2    27     70    0 
 -595990    1023    2    31    103    1 
 -595936     342    3    10     53    0 
 -595770     377    2    28     63    0 
 -595670    1023    2    31    115    1 
 -595670     335    2    21     42    0 
 -595466     898    2    22     34    0 
 -594963     748    3    27     72    0 
 -594535     798    0    27     80    0 
 -594393     210    1    18     40    0 
 -594393     230    3    30    112    0 
 -593686     319    0    22    106    0 
 -593516     326    2     9     85    0 
 -593242     541    1    19     54    0 
 -592818     947    1     4    121    0 
 -592818     905    2     3     50    1 
 -592818     883    3    18     13    0 
 -592818     847    0     6    121    0 
 -592818    1014    2    15    126    2 
 -592818     729    3     5    109    1 
 -592422     427    2     2     16    0 
 -592280     555    1    26    122    0 
 -591756     870    3    23    127    0 
 -591756     175    3    14    116    0 
 -591658     874    0    26     15    1 
 -591658     536    1     0     68    0 
 -591582     212    3    21    119    0 
 -591246     488    1     0     19    0 
 -590704     361    1    24    109    0 
 -590590     196    2    13     93    0 
 -590530     189    0    26     57    0 
 -590351     588    0    15      1    0 
 -590351    1023    1     1    125    1 
 -590351    1023    1    17    127    1 
 -590350     522    0    18    106    0 
 -590346     255    1     1    127    1 
 -589784     641    2     0     27    0 
 -589783     170    3    25     17    0 
 -589638     288    3    29     59    0 
 -589284     847    0     6     15    0 
 -588945     904    2    24     58    0 
 -588940     169    2    24     63    0 
 -588932     895    2    12     33    0 
 -588899     872    1    24    116    0 
 -588899     305    3     2     60    0 
 -588899     759    3    15     57    0 
 -588899     241    3    16    103    0 
 -588899     173    3    28     36    0 
 -588279     927    1     3     84    0 
 -588279     238    0     9     59    0 
 -588279     386    2    16    125    0 
 -588279     878    1    12    126    0 
 -588279     509    0    31     27    1 
 -587893     393    1    19     93    0 
 -587893     244    2     8    126    0 
 -587624     226    2    31    111    0 
 -587267     228    1    31     22    0 
 -587231     151    3     9     82    0 
 -586749     191    1    23    115    0 
 -586711     506    1     3    127    1 
 -586333     543    1    13     61    0 
 -586091     369    0     4    116    0 
 -585915     882    3    30     19    1 
 -585740     700    0    21     84    0 
 -585623     276    1     0     85    0 
 -585494     250    0     9    106    0 
 -585386     811    1    30     30    0 
 -584734     746    3     0    100    0 
 -584621     916    1    22     24    0 
 -584081     904    0    14     76    0 
 -584058     589    3     3     50    0 
 -584058    1023    3    23    127    3 
 -583504     882    1    15     45    0 
 -583259     880    3    19     24    0 
 -583026     504    2    21     96    0 
 -582802     278    3    31      9    0 
 -582652     736    3     6     23    0 
 -582589     336    1    25     37    0 
 -582497     900    2    25     31    0 
 -582429     343    1    26     13    0 
 -582353     888    2    21      1    0 
 -582287     264    2    22     30    0 
 -582231     918    1    16     62    0 
 -582214     300    0    21     96    0 
 -582008     885    0    30     98    0 
 -582008     260    1     6     30    0 
 -581224    1023    2     7    107    2 
 -581194    1023    3    21    126    1 
 -581100     499    2    26     45    0 
 -580676     215    0    27     52    0 
 -580675     169    2    21    103    0 
 -580219     873    1    27     29    0 
 -580162     181    3     8     85    0 
 -579767     242    0     4     98    0 
 -579520     514    3     1     56    0 
 -579519     373    3    24      9    0 
 -578962     220    3    18    110    0 
 -578369     898    2    26     31    0 
 -578224     168    0     2     44    0 
 -577752     683    2    31     37    0 
 -577634     889    0    14    100    0 
 -577594     518    2     7     29    0 
 -576896     180    0     6     15    0 
 -576706     342    0     7     97    0 
 -576217     684    2    10     58    0 
 -576153    1023    2    27    127    1 
 -576091     196    3    31     49    0 
 -575883     879    2    23     28    0 
 -575502     200    1    19     79    0 
 -575213     497    3    22     36    0 
 -574818     753    3     4    122    0 
 -573331     898    2    26    127    0 
 -573330     909    2     2     87    0 
 -573326     152    2    26    118    0 
 -572918     379    1    29      3    0 
 -572801     427    2    14     26    0 
 -572759     999    3    15     91    1 
 -572312     820    2    19     58    1 
 -572118     890    0    10     81    0 
 -572072     848    0     0     69    0 
 -571696     907    2    13     33    0 
 -571591     697    2    30    109    0 
 -571494     445    3    22     19    0 
 -571469     913    1    21     73    0 
 -571354     379    3    10     64    0 
 -571131     746    3     7     37    0 
 -570813     934    1     2    115    0 
 -570806     714    0    27     17    0 
 -570746     854    3    14    124    0 
 -570708     388    2    20     94    0 
 -570708     320    3     3     88    0 
 -570707     704    3    29    120    0 
 -570272     160    2     0     35    0 
 -569988     810    1    31     73    0 
 -569758     307    1    13    105    0 
 -569302     436    2    16    121    0 
 -568790     868    1    26     92    0 
 -568747    1023    2    23     95    3 
 -568747     478    3    16     97    0 
 -568747    1023    2     7     61    2 
 -568747     251    3    30     19    0 
 -568747    1014    2    15    127    3 
 -568744     359    2    15     87    1 
 -568742     172    2    14    124    0 
 -568245     897    2    22    107    0 
 -568244     204    1    30     61    0 
 -568012     190    2    31     44    0 
 -567896     376    2    16     41    0 
 -567766     869    3    21     58    0 
 -567709     207    1     1     41    0 
 -567709    1022    0    31     94    1 
 -567695     259    1     1      8    0 
 -567578     901    2     1     27    0 
 -566941     827    0     7     32    0 
 -566888     867    0    16     21    0 
 -566888     802    3    23    102    0 
 -566888     868    0    26     23    0 
 -566888    1023    2    23    127    1 
 -566888    1023    2    31    127    1 
 -566887     239    1    12     54    0 
 -566887     239    2    12     95    0 
 -566887     505    2     4     29    1 
 -566883     173    2    18     35    0 
 -566685     915    1    21     53    0 
 -566685    1023    2    31     92    1 
 -566657    1008    1    31    127    3 
 -566650     255    1    31     26    0 
 -566644     158    1    31     26    0 
 -566547     865    0    22    126    0 
 -566547    1023    1     7    127    2 
 -566547    1022    0    31     95    1 
 -566547    1021    1    15    127    1 
 -566547    1023    1    21    127    2 
 -566542     154    1    12     48    0 
 -566308     549    3    29      7    0 
 -566306     769    0    14     68    0 
 -566046     860    0    18     64    0 
 -566046     363    1     5     75    0 
 -566034     869    1    26     28    0 
 -565564     771    1     3     35    0 
 -565426     891    0    10    123    0 
 -565424     317    2    29     24    0 
 -565008     370    3     3     84    0 
 -564984    1008    1    31    126    1 
 -564863     897    0     9     99    0 
 -564838     872    1    24     55    0 
 -564752     760    3     3     43    0 
 -564751     299    3    11    103    0 
 -564644     897    2    29     91    0 
 -564644     589    1    11     61    0 
 -564644    1010    0    19     83    1 
 -564644     943    3     7    127    3 
 -564644    1008    1    31    119    2 
 -564644     653    2     1     35    0 
 -564644    1023    3    23    123    2 
 -564644    1014    2    11    122    1 
 -564644    1006    3    31    127    2 
 -564639     161    2    11     96    0 
 -564380     879    3    31     63    0 
 -564334     889    2    28      7    0 
 -564007     488    2    23    119    0 
 -563968     893    2    30    100    0 
 -563968     200    1    11     67    0 
 -563670     900    2    10     12    0 
 -563559     239    3    23     19    0 
 -563361     270    0     7     58    0 
 -561920     244    2    10     99    0 
 -561750     868    1    25    101    0 
 -561750     669    2    26     31    0 
 -561750     875    3    17    106    0 
 -561750     943    3     7    127    3 
 -561748     166    1    21      1    0 
 -561212     344    1    15     93    0 
 -561133     282    0     2     48    0 
 -560782     315    0    14     90    0 
 -560781     176    1    27     19    0 
 -560522     881    0    24     64    0 
 -559526     869    3    21    110    0 
 -559511    1021    1    15    127    1 
 -558594     859    0    18     13    0 
 -558553     192    2    21     12    0 
 -558229     907    2     6     18    0 
 -557169     584    3    10     47    0 
 -556534     888    0    11     19    0 
 -556377     172    1     6     16    0 
 -556201    1023    2     5    114    1 
 -556161     251    0    11     88    0 
 -555140     897    0    12     87    2 
 -555115     262    1     8    106    0 
 -554619     522    1    30     19    0 
 -554319     637    1     8     57    0 
 -554319    1014    2    15     99    1 
 -554142     425    0    26     75    0 
 -554087     255    2    29     41    0 
 -553958     780    3     8    100    0 
 -553958     871    3    25     77    0 
 -553441     870    3    21     78    0 
 -552640     633    3     2     14    0 
 -552522     857    0    20    127    1 
 -552511     862    0    20    117    0 
 -552421     890    0    10    106    0 
 -552174     760    3     2     51    0 
 -551981     197    3    20     81    0 
 -551590     168    1    28      7    0 
 -551514     860    3    26     40    0 
 -551281     306    2    30    125    0 
 -551171     914    1    21     17    0 
 -551171    1008    1    29    109    1 
 -550860     886    0    29     12    0 
 -550860     660    0     5    113    0 
 -550637     552    1    13     13    0 
 -550335     694    3    26     40    0 
 -550222     999    3     9    127    3 
 -550219     194    3     9    123    1 
 -550001     742    2    31    116    1 
 -549763     641    1     4     80    0 
 -549763     884    2    20     42    0 
 -549763     868    3    10     73    0 
 -549763    1023    2     7    125    2 
 -549763     333    3    26     91    0 
 -549763     839    2    15    116    1 
 -549763     603    2    26    119    0 
 -549543     345    1     8     56    0 
 -549297     380    3    20     13    0 
 -549266     396    2    16     17    0 
 -549260     755    1     8     80    0 
 -549165     758    3     6     61    0 
 -549009    1006    3    31    127    1 
 -549008     481    2    15     74    0 
 -548662     389    3    27      8    0 
 -548344     551    2    27     98    0 
 -547413     472    0    16     88    0 
 -546898     862    0    18     92    0 
 -546898     329    0     3     34    0 
 -546898     897    0    12     87    0 
 -546412     896    0    13     27    0 
 -545951     863    3    27     42    0 
 -545668     180    3    14     35    0 
 -545271     899    2     9     34    0 
 -544897     248    3     5    111    0 
 -544870     454    1     8     68    0 
 -544802     476    1     3     35    0 
 -544796     467    3     1     16    0 
 -544767     242    0    23     19    0 
 -544658     867    1    30    106    1 
 -544658     875    3    16     35    1 
 -544658     999    3     9    116    2 
 -544649     871    1    30    106    0 
 -544453     871    3    23     13    0 
 -544075     701    3     5    117    0 
 -544062     885    1    15     15    1 
 -544062     233    1    23    116    0 
 -543400     845    1    15     71    0 
 -543092     565    3     3      4    0 
 -542682     233    2    31     63    0 
 -541944     907    2     3     60    0 
 -541862     843    0    19      6    0 
 -541862     657    0    27     58    0 
 -541658     369    3    10     11    0 
 -541619     902    2    11     68    0 
 -540955     789    3    29     84    0 
 -540955     900    2    11    100    0 
 -540955     439    2    22    127    0 
 -540505     165    0    22     75    0 
 -540383     867    3     8     63    1 
 -539818     863    0    23      4    0 
 -539755     428    2     8     16    0 
 -539360     900    2    24     63    0 
 -539360     543    1    11     52    0 
 -539360     999    3    13    119    1 
 -539360     673    0     8     89    0 
 -539360    1023    2     3    127    3 
 -539360     994    0     5    115    2 
 -539360     644    3    31     95    1 
 -539360    1014    2    15    127    3 
 -539360    1022    0    31    127    1 
 -539360    1023    2    21    123    2 
 -539359     654    1     3    116    0 
 -539355     162    0    29     18    0 
 -539272     414    0     1     46    0 
 -537925     302    1     7     24    0 
 -537879     901    2    24     73    0 
 -537716     289    2     1     16    0 
 -537612     905    2    17     48    0 
 -537582     609    2    20     26    0 
 -536434     545    0     0     20    0 
 -536382     156    2    16    100    0 
 -536131     172    1    27     31    0 
 -535598     243    3    16     54    0 
 -535390     464    0    28     97    0 
 -535260     261    0    11      0    0 
 -534961     913    2     4     25    0 
 -534715     760    3     6     99    0 
 -534715     300    3    14     15    0 
 -533515     847    0     0      1    0 
 -533515     291    2    25    112    0 
 -533411     202    3    30     94    0 
 -533410     291    0     2     87    0 
 -533211     849    0     7     92    0 
 -533114     699    2    15     29    0 
 -532877     389    3    26    125    0 
 -532620     322    0    31     17    0 
 -532452     292    0    29     32    0 
 -532440     306    2    22     58    0 
 -532198     260    1     6      5    0 
 -532159     332    2    19     54    0 
 -531329     489    2     5    105    0 
 -531254     868    3    25    118    0 
 -530816     287    3    23     35    0 
 -529860     844    0    19     22    0 
 -529707     745    2    29     17    0 
 -529147     798    3    11     20    0 
 -529147     276    3    19    116    0 
 -528994     523    0     8    110    0 
 -528080     166    2    26     94    0 
 -527903     930    1     6     19    0 
 -527675     641    0    28     41    0 
 -527336     211    3    15    127    0 
 -527304     436    2     0    108    0 
 -527152     894    2     4     54    0 
 -526878     533    0     9     94    0 
 -526652     394    3    24     26    0 
 -526589     460    3    18     74    0 
 -526321    1023    0    11    125    1 
 -525080     806    2     8     43    0 
 -525024     654    3     6     17    0 
 -524784     192    1    22     33    0 
 -524551     445    0    26     54    0 
 -524490     291    3    27     33    0 
 -524169     887    0    30     32    0 
 -524168     205    0     4     33    0 
 -524164     173    0    30     47    0 
 -523921     488    3    14     35    0 
 -523915     901    2    11     60    0 
 -523226     229    3     8    109    0 
 -523031    1000    3    23    127    2 
 -522979     490    1    29    125    0 
 -522564     220    1    31    126    0 
 -522555     867    0    16     42    0 
 -522448     918    1    16     67    0 
 -521141     894    2    20     89    0 
 -521107     616    2    21     63    0 
 -520874     324    1    30     67    0 
 -520763     303    3     4     26    0 
 -520708     935    1     2     89    0 
 -520708    1010    0    23    119    2 
 -520708    1021    1    15    101    1 
 -520708     923    1    20     62    1 
 -520708     859    1    28    103    0 
 -520707     383    3    13    102    0 
 -520510     718    3     2     35    0 
 -520173     612    2    28     97    0 
 -519938     652    1    16      0    0 
 -519336     929    1     6     23    0 
 -518270     351    2    19     92    0 
 -517982     525    3     4     43    0 
 -517873     629    2    14     13    0 
 -517852     512    1     1     92    0 
 -516816     374    2    19     21    0 
 -516324     295    3    14     50    0 
 -516196     155    2    29    121    0 
 -516099     762    3     3      4    0 
 -515375     279    3    31     10    0 
 -515230     198    2     6     14    0 
 -515229     184    0    25     40    0 
 -515229     166    2    29     57    0 
 -515188     536    2     2     88    0 
 -514903     832    0    24     66    0 
 -514733     579    0    26     60    0 
 -514733     545    1     5    101    0 
 -514481     891    0    10     39    0 
 -514481     848    0     0     92    0 
 -514480     598    2    26     38    0 
 -514311     752    3     6     97    0 
 -514311    1006    3    31    121    1 
 -514263     158    3    12     48    0 
 -514032     166    1    29     61    0 
 -513933     435    0     3     11    0 
 -513745     817    2     5     10    0 
 -513304     865    3    11     26    0 
 -513175     868    3    21     66    0 
 -513059     164    1    27    108    0 
 -512945     535    2    28     23    0 
 -512893     867    1    30     20    0 
 -512858     305    1    25     51    0 
 -512808     183    0     9     52    0 
 -512790     913    0    15     47    0 
 -512697     154    3    26     14    0 
 -512680     867    0    16     35    0 
 -512591     267    1    17     22    0 
 -512486     155    3    28     39    0 
 -512148     994    0     1    127    1 
 -512089    1010    0    23     87    1 
 -512081     467    2    21     42    0 
 -512061     429    2     4    107    0 
 -512061     438    3    28     89    0 
 -512061     251    3     3     37    0 
 -512061     348    3    20     67    0 
 -511976     185    1     9     83    0 
 -511601     195    0    31     54    0 
 -511451    1023    2    19    127    1 
 -511111     226    0    28     61    0 
 -510994     853    0    17     98    0 
 -510994     754    0     9     31    1 
 -510856     234    1    15     73    0 
 -510700     684    3     7     66    0 
 -510700     294    3    14    107    0 
 -510392     171    2    17     77    0 
 -510361     578    2    18     86    0 
 -510228     895    2    12     69    0 
 -510228     462    3    31     66    0 
 -510228     835    2    22     88    0 
 -510228    1023    2    30    123    1 
 -508944     625    0    16    101    0 
 -508765     377    0     3     89    0 
 -508131     896    0    13     38    0 
 -507936     492    2     4     50    0 
 -507761     619    3    11     39    0 
 -506976     765    0    31     56    0 
 -506741     552    3     3    125    0 
 -506306     299    1    31     95    0 
 -505415     902    2     0     92    0 
 -505333     892    2    30     85    0 
 -504823     416    0    20    108    0 
 -504433     236    1    20    120    0 
 -503715     899    2     9     39    0 
 -503175     365    1    30    100    0 
 -502542     230    0     6     40    0 
 -502373     406    3    14      9    0 
 -502257     771    0     9     36    0 
 -502192     379    3    25     38    0 
 -501697    1006    3    29    111    1 
 -501689     172    3    29    111    0 
 -501449     231    2    19    107    0 
 -501124     333    3    17      9    0 
 -500675     192    3    17    108    0 
 -500597    1021    1    15    127    2 
 -500596     885    0    31    116    0 
 -500596     867    1    30    113    0 
 -500596    1023    2    18    111    1 
 -500596     241    0     6     24    0 
 -500596    1023    1     7    111    2 
 -500594     321    0     9      0    0 
 -500592     184    1    13      0    0 
 -500591     171    0    31    100    0 
 -500186     630    0    26      7    0 
 -499893     967    3    29    123    1 
 -499660     275    0    31     32    0 
 -499628     273    0    24     31    0 
 -498652     828    2     7    118    0 
 -497819     792    2     0     88    0 
 -497358     868    1    30     42    0 
 -497327     260    3    24     43    0 
 -497096     618    2    14     91    0 
 -496902     439    3    21     79    0 
 -496740     411    2    18     97    0 
 -496311     375    3    13      9    0 
 -495958     244    1    30     68    0 
 -495633     703    1    17     45    0 
 -494688     622    0    27      5    0 
 -494688     394    1     0     45    0 
 -494375    1022    0    25    127    1 
 -494358     165    3    26     99    0 
 -493973     464    3    29      2    0 
 -493973     210    1    30     13    0 
 -493973     802    1    22    123    1 
 -493972     210    1    10     58    0 
 -493919     760    3    28     40    0 
 -493766     586    0     5     14    0 
 -493708     151    3    10     18    0 
 -493650     883    0    31     37    0 
 -493650     691    1    13     27    0 
 -492894    1023    2    19    116    1 
 -492769     330    1    20     30    0 
 -492489     265    0     4      8    0 
 -492471     888    3    28     58    1 
 -492470     331    1     9     38    0 
 -492466     159    3    28     34    0 
 -491280     906    2    31    126    2 
 -491279     182    0     4    125    0 
 -491264     205    3     3      1    0 
 -491038     457    3    23     80    0 
 -490992     845    3    29    118    0 
 -490992     867    3    20      5    0 
 -490991     666    0    16     71    0 
 -490991     418    1    29     37    0 
 -490991    1023    2     5     47    1 
 -490634     874    0    11     68    0 
 -489885     289    3    16    108    0 
 -489885     811    0    14    103    1 
 -489884     467    0    26     99    0 
 -489884     537    0    23     74    0 
 -489855     369    3    24     30    0 
 -489829     904    0    14     29    1 
 -489824     160    0    14     11    0 
 -489695     252    1    30     80    0 
 -489680     627    2     9     68    0 
 -489536     882    3    30     55    0 
 -489420     859    2    31     64    0 
 -488891     192    0     1     10    0 
 -488640     164    3     7     12    0 
 -488224     329    0    21      4    0 
 -488224     742    3     1     39    0 
 -488224     679    1    31     51    0 
 -488224     899    0    12     88    0 
 -487624     926    1    17     55    0 
 -486595     153    0    16     54    0 
 -486245     853    0     2     13    0 
 -486245     899    2    11     63    1 
 -486245    1023    3    23    127    1 
 -486245    1006    3    31    119    2 
 -486244     855    3    13     51    0 
 -486244    1023    2     5     12    1 
 -486240     866    1    17     41    0 
 -486239     165    2    11     49    0 
 -485452     226    1    10     18    0 
 -485131     787    3    17     86    0 
