# Reference time: 2020-04-15 08:48:05.557
#
# Each line represents a single HED count.
#
# tus -- time of the count, microsecond
# ttk -- submicrosecond time of the count, in units of 1/36e6 s (which means 1/36 of a microsecond)
# erg -- energy of the count in channel units
# dau -- DAU (detector assembly unit) of the count (there are four DAUs: 0, 1, 2, 3)
# det -- detector of the count within the DAU (each DAU has three detectors: 0, 1, 2)
# typ -- type of the count: 0 corresponds to NORMAL event, 1 corresponds to FAST event
#
#
#
#    tus    ttk     erg   dau  det  typ
#
-726112     8    1593    0    1    0 
-726089    35    1663    3    0    0 
-725915    18    1548    2    2    0 
-725715    18     200    1    0    0 
-725684    21    1812    0    0    0 
-725684    26      60    2    2    0 
-725678     8      28    2    1    0 
-725567    22      74    0    0    0 
-724738    24    1877    1    0    0 
-724738    30     354    1    1    0 
-724738    32      34    0    2    0 
-724442    34     598    0    0    0 
-724245    20      17    2    2    0 
-724234     0     133    1    0    0 
-724223    18     147    1    0    0 
-724196    15      81    0    2    0 
-724196    15     726    1    2    0 
-724069    28      37    0    2    0 
-723801    29      47    2    0    0 
-723782    11    1692    1    0    0 
-723782    15     227    3    2    0 
-723782    20     210    1    1    0 
-723106    17    2003    0    2    0 
-723106    22      59    2    1    0 
-723106    23     267    1    0    0 
-723106    25      47    0    1    0 
-722997    21     119    0    2    0 
-722997    21      38    3    2    0 
-722570    11    1826    0    0    0 
-722570    16      64    0    1    0 
-722505    34     236    3    0    0 
-722234     0    1881    0    1    0 
-722234     0    2277    0    2    0 
-722234     1    1878    3    2    0 
-722234     1    1687    0    0    0 
-722234     2    1619    1    0    0 
-722234     2    1641    3    1    0 
-722234     7      23    2    1    0 
-722234     8     142    1    2    0 
-722234    10      36    1    1    0 
-722223    12     720    0    2    1 
-722159    31     205    0    2    0 
-721750    26    1562    0    2    0 
-721680     4      37    1    2    0 
-721122    30      31    2    1    0 
-721023    15    2037    0    1    0 
-721023    16    1960    0    2    0 
-721023    16    1855    0    0    0 
-721023    17    1680    3    2    0 
-721023    18    1439    1    0    0 
-721023    20      32    1    2    0 
-721023    21      50    3    0    0 
-721023    21     953    3    1    0 
-721023    22     389    2    0    0 
-721023    22     721    1    1    0 
-721023    22     712    2    1    0 
-721023    23     864    2    2    0 
-720661    11      58    0    1    0 
-720555    23      49    1    0    0 
-720082    34      60    1    1    0 
-719906     0     769    1    2    0 
-719844     8     147    3    0    0 
-719615     3    1740    1    0    0 
-719615     4    1642    1    1    0 
-719615     8     277    0    2    0 
-719615     9      22    0    0    0 
-719322    27     355    3    0    0 
-719234    17      99    1    0    0 
-718773    18      70    0    0    0 
-718773    35      39    3    0    0 
-718648    10      22    2    2    0 
-718530    34     108    3    1    0 
-718530    35      97    3    2    0 
-717587    16      75    2    0    0 
-717446     5      49    2    1    0 
-717446     6     677    2    2    0 
-717404     9      60    3    0    0 
-717369     1     180    1    2    0 
-716754    26      42    3    2    0 
-716708     1      31    0    2    0 
-716667     4    1829    0    0    0 
-716667     4    1734    2    2    0 
-716667     4    1717    2    0    0 
-716667     7    1379    2    1    0 
-716667    10      31    3    1    0 
-716667    11     544    3    2    0 
-716664    11      70    2    0    1 
-716445     5    1286    2    0    0 
-716445     6     114    2    2    0 
-716105    11      38    0    2    0 
-715679    29    1903    0    2    0 
-715479    18    1602    2    0    0 
-715479    20    1318    2    1    0 
-715351    33     109    1    1    0 
-715254     9      51    1    2    0 
-714968     2      69    3    2    0 
-714762     5      34    0    2    0 
-714583    23      55    2    2    0 
-714521    17    1804    0    0    0 
-714521    19    1548    2    0    0 
-714521    22     472    0    1    0 
-714521    23      54    2    1    0 
-714338    14      90    1    0    0 
-714322    10     153    0    0    0 
-713976    34    1648    3    1    0 
-713976    35    1665    3    0    0 
-713975     3      51    1    0    0 
-713975     5     797    0    2    0 
-713975     5     271    1    2    0 
-713975     6      36    1    1    0 
-713859    18      36    1    0    0 
-713859    19     531    1    1    0 
-713024    24      23    0    2    0 
-712987    17      70    0    0    0 
-712987    21     102    0    1    0 
-712635     9    1469    3    0    0 
-712635    11      73    0    0    0 
-712635    11     122    1    2    0 
-712635    11     169    2    2    0 
-712635    11     412    1    1    0 
-712635    12     308    1    0    0 
-712635    12     844    2    1    0 
-712518    30     364    2    2    0 
-712518    33      17    2    1    0 
-712506    32      42    0    1    0 
-712444    21      38    3    2    0 
-712347    22      61    3    1    0 
-712336    17      35    3    0    0 
-712336    24     656    3    1    0 
-712327    20    1612    2    0    0 
-712149    23    1765    0    1    0 
-711639    27     190    0    0    0 
-711639    28      17    2    2    0 
-711573    28      41    3    0    0 
-711482    18      36    2    2    0 
-711147    10      61    1    0    0 
-711104    21      23    0    2    0 
-710971    22    1845    3    0    0 
-710971    28      30    2    2    0 
-710922    14     638    0    1    0 
-710722    26     190    0    2    0 
-710502    19      75    2    1    0 
-710333     0      97    3    0    0 
-710202    31      48    3    1    0 
-710202    31     152    3    2    0 
-710091    30      66    1    0    0 
-710091    31    1284    2    2    0 
-710091    32     343    3    0    0 
-710091    32      59    1    1    0 
-710056    24      40    2    0    0 
-709970    16    1750    0    0    0 
-709970    21     794    0    1    0 
-708938    20     111    3    0    0 
-708901    24      34    0    1    0 
-708682    15    1109    0    0    0 
-708682    16      21    0    1    0 
-708296     1      96    2    2    0 
-708209     0     101    0    1    0 
-708055     0      72    2    2    0 
-707951    14      49    3    2    0 
-707890     5      50    2    2    0 
-707796    18      45    3    2    0 
-707750     1     744    1    0    0 
-707449    34      54    3    1    0 
-707448     0     872    3    0    0 
-707334    27     157    1    0    0 
-707255     7      62    2    2    0 
-707197    23     281    1    1    0 
-707197    24      48    1    0    0 
-706534    31      30    2    2    0 
-706320     3    1651    3    0    0 
-706320     6      67    3    1    0 
-706244     9    1738    1    1    0 
-706244    14     148    1    0    0 
-706244    15      73    0    0    0 
-706244    15     650    1    2    0 
-706242    21      39    3    2    0 
-706231    17    1747    3    0    0 
-706113    15      17    2    1    0 
-705921     7      82    3    2    0 
-705821     4     344    2    2    0 
-705667    28    1510    1    1    0 
-705667    31     176    1    0    0 
-704764    10      49    2    1    0 
-704435     1     216    2    2    0 
-704325     4      43    1    2    0 
-704079     9     135    3    0    0 
-703708    33    1933    1    2    0 
-703708    34    1608    1    1    0 
-703707     3      74    1    0    0 
-703707    25      78    0    2    0 
-703457     0      43    1    2    0 
-702074     4    1982    0    0    0 
-702074     5    1734    0    1    0 
-702074     9      92    3    1    0 
-702074    10      71    2    0    0 
-702074    11     113    1    0    0 
-702074    11      99    2    2    0 
-702074    11     591    0    2    0 
-701608    29     172    3    0    0 
-701608    29      41    3    1    0 
-701596    20     261    2    0    0 
-701425     2      75    1    0    0 
-701425     2      26    2    0    0 
-700966     6      40    3    2    0 
-700756    20     114    2    2    0 
-700613    28     179    0    1    0 
-700613    29     101    2    1    0 
-700293    33    1449    0    1    0 
-699980    23      58    0    0    0 
-699924     0      22    2    1    0 
-699898    17      20    2    2    0 
-699596    13      44    1    2    0 
-699460    26      26    0    2    0 
-698425    31      26    2    0    0 
-698425    32    1693    2    2    0 
-698425    32    1576    3    1    0 
-698425    32    1799    3    2    0 
-697892    21      57    0    2    0 
-697810    25     236    3    0    0 
-697777    29     335    3    0    0 
-697635     3     186    1    2    0 
-697454    31     548    3    0    0 
-697016    28    1828    0    1    0 
-697016    29    1555    2    1    0 
-697016    30    1563    2    2    0 
-696737    26     163    0    0    0 
-696619    33    1303    0    0    0 
-696619    33      22    0    1    0 
-696456    24      37    2    2    0 
-696218    32      18    2    1    0 
-695715    20    1477    2    1    0 
-695715    25      32    2    0    0 
-695481    13     352    1    0    0 
-695227    13    1907    0    2    0 
-695208    22    1382    0    2    0 
-695020    32     101    0    2    0 
-694847     8     208    0    0    0 
-694646    27    1281    2    1    0 
-694170    17    1694    3    0    0 
-693881    13     215    1    2    0 
-693881    15      54    3    0    0 
-693559    22      75    2    0    0 
-693559    24      51    2    2    0 
-693057    31    1934    0    2    0 
-693057    34    1383    0    0    0 
-693056     1     422    0    1    0 
-692833    18      59    3    1    0 
-692189    24    1737    3    0    0 
-692099    24    1659    3    1    0 
-691599    10    1694    0    0    0 
-691599    19      27    0    1    0 
-691453    14     108    1    0    0 
-691453    15      38    0    1    0 
-691067     9      46    0    0    0 
-691012     6      67    3    1    0 
-690999    19    1560    2    2    0 
-690743    18    1411    2    1    0 
-690743    21      75    0    2    0 
-690743    22     526    2    2    0 
-690743    22     935    2    0    0 
-690743    23    1050    0    1    0 
-690738    33     229    0    1    1 
-690703     6      88    1    1    0 
-690535    19      29    0    2    0 
-690442    27      90    2    2    0 
-690343    14     221    0    1    0 
-690145    23      40    0    1    0 
-689773    24     114    3    2    0 
-689741    19    1591    0    1    0 
-688974     8      66    0    0    0 
-688974     8      51    0    1    0 
-688974    10      43    1    2    0 
-688843    24    1724    1    2    0 
-688843    30     161    1    1    0 
-688698     0      19    2    1    0 
-688071    30    1658    2    0    0 
-688019    10      24    0    1    0 
-687905     2      82    2    1    0 
-687902    18     157    0    2    0 
-687848    31     100    3    2    0 
-687448    23      32    2    2    0 
-687420     0     238    0    0    0 
-686988     6    1583    1    0    0 
-686988     6    1431    3    1    0 
-686594    13    1561    1    0    0 
-686543     4      16    2    2    0 
-686271     7      62    3    0    0 
-685748    18     987    1    0    0 
-685325    10    1706    3    2    0 
-685277    35     248    2    2    0 
-685161     0    1734    3    0    0 
-684780    30      91    1    2    0 
-684554    24    1241    2    1    0 
-684493     5      83    2    2    0 
-684493     6     114    2    1    0 
-684493     8      63    3    2    0 
-683839     8    1876    0    0    0 
-683839     8    1978    0    1    0 
-683839    14     191    0    2    0 
-683839    15      53    1    1    0 
-683610    25    1491    0    1    0 
-683437    26     139    0    2    0 
-683160    17    1561    2    1    0 
-683160    23      19    2    2    0 
-683139     9      68    3    2    0 
-683139    10      72    2    0    0 
-683036    20    1212    0    0    0 
-682993    30     313    1    0    0 
-682899    10     203    1    2    0 
-682773    24      21    2    0    0 
-682675    30    1464    2    0    0 
-682675    32     110    2    1    0 
-682674    34     155    2    0    1 
-682673     2     388    3    2    0 
-682530    33     217    0    0    0 
-682521    25      37    3    2    0 
-682339    15      24    0    1    0 
-682248    14     191    0    0    0 
-682125    32      32    0    1    0 
-681911    23     205    0    1    0 
-681859    29     160    1    1    0 
-681756    34     177    1    2    0 
-681567     8     185    1    0    0 
-681084     0    1174    2    2    0 
-681062    29    1541    3    2    0 
-680966    15     265    0    0    0 
-680966    15      88    2    2    0 
-680827     2      34    3    0    0 
-680609    35     491    0    0    0 
-680274    14    1715    2    1    0 
-680274    18      53    0    1    0 
-680274    19      99    1    1    0 
-680274    19    1260    2    0    0 
-680274    19      48    0    2    0 
-680274    20     449    3    2    0 
-680274    20     349    2    2    0 
-679434    12      58    1    2    0 
-679184     9     197    1    0    0 
-679184    10     217    0    2    0 
-679048     9    1733    1    0    0 
-679048    14     181    1    1    0 
-679048    15      63    1    2    0 
-678958    10      94    1    2    0 
-678240     8     243    3    2    0 
-678025    12      53    0    2    0 
-678025    15      74    1    0    0 
-677970    18      39    0    0    0 
-677970    18      24    0    1    0 
-677819    23      83    1    0    0 
-677467    10     380    2    2    0 
-677467    11      37    2    1    0 
-677321     4      79    0    0    0 
-677109     4    1829    0    2    0 
-677109     8    1185    1    0    0 
-677002    28      40    1    1    0 
-676395     3      52    1    1    0 
-675502    35    1730    3    2    0 
-675501     4      57    2    0    0 
-675481    12    1878    3    0    0 
-675348    27    1628    1    1    0 
-675061     9      68    1    2    0 
-675035     7      18    2    2    0 
-674778    24      27    2    1    0 
-674444    32     206    2    2    0 
-674131     9      58    3    1    0 
-673930     3    1553    2    2    0 
-673930     7      21    2    1    0 
-673280    15      31    0    0    0 
-672866    10      26    2    2    0 
-672697     8     530    0    2    0 
-672697    10      16    2    1    0 
-672628     4      32    0    2    0 
-672283    19    1537    0    2    0 
-672283    20     203    2    1    0 
-672283    22     658    1    0    0 
-671676    22     119    1    1    0 
-671307    20      39    1    1    0 
-671185    27      47    0    0    0 
-671176     9      61    3    0    0 
-671071    22      41    0    0    0 
-670986     4    1651    2    1    0 
-670986     5    2183    0    2    0 
-670986     9      88    1    2    0 
-670986    10     166    2    0    0 
-670986    10     137    0    0    0 
-670986    10     211    0    1    0 
-670449    33    1413    2    1    0 
-670371     0     358    0    1    0 
-670168    10      50    0    2    0 
-669801    27     548    3    0    0 
-669397    31      47    0    2    0 
-668882    31      79    3    1    0 
-668882    33      40    1    1    0 
-667759    33      51    0    0    0 
-667628     7      57    1    2    0 
-667616    31      72    3    0    0 
-667601    35    1489    0    1    0 
-667600     1     246    0    0    0 
-667600     2      24    0    2    0 
-667600    21    1169    0    0    1 
-667178    24    1994    0    2    0 
-667178    29     132    0    1    0 
-667047     7     165    3    1    0 
-667047     7      68    0    2    0 
-666622     3     264    2    2    0 
-666622     4      24    2    1    0 
-666444    13      62    1    0    0 
-666271    13     250    1    0    0 
-665655     7      16    2    1    0 
-664921     3      46    0    1    0 
-664738    11      34    1    2    0 
-664235     3      66    3    2    0 
-664190    26      61    1    1    0 
-663990    31      33    3    1    0 
-663990    32     223    3    0    0 
-663990    33      46    3    2    0 
-663297    35    1686    0    0    0 
-663191    11      24    2    1    0 
-662880    20    1671    2    1    0 
-662880    22    1500    2    0    0 
-662880    23    1454    2    2    0 
-662880    27     588    3    2    0 
-662693    29      22    0    0    0 
-662570     5     195    2    0    0 
-662569    16    1656    0    2    0 
-662569    19     925    1    0    0 
-662364     9      44    1    2    0 
-662147     7    1779    3    2    0 
-662147    11     312    3    1    0 
-661833    31      23    2    0    0 
-660751     8    1848    3    0    0 
-660751    11    1410    3    1    0 
-660697    30      29    0    0    0 
-660105     9      96    2    0    0 
-659796    23    1876    3    0    0 
-659796    28     443    3    1    0 
-659796    29     101    1    0    0 
-659723     5      44    2    2    0 
-659648    30      43    2    2    0 
-659521    21      39    1    2    0 
-658959    34      31    0    0    0 
-658722     7    1857    3    2    0 
-658719    24     239    3    2    1 
-658106    35    1698    3    0    0 
-658042     9    1770    1    0    0 
-658042    15      22    0    2    0 
-658042    16      67    3    2    0 
-658042    16      51    3    1    0 
-657919    25     100    3    0    0 
-657859    31    1045    3    1    0 
-657859    32     923    3    0    0 
-657536    26     248    2    2    0 
-657470    29     142    2    1    0 
-657334    10      31    2    1    0 
-656926    17      58    1    1    0 
-656886    25     139    2    0    0 
-656666    20      30    2    0    0 
-656338    35    1613    0    1    0 
-656337     3      27    0    2    0 
-656129     3    1741    1    2    0 
-656129     8      60    0    0    0 
-656129    10      44    0    2    0 
-655998    17      93    3    0    0 
-655925     5      82    3    1    0 
-655685    16     189    0    0    0 
-655612    31     560    1    2    0 
-655412    11    1552    2    1    0 
-655412    15      28    2    0    0 
-653417    18      47    0    1    0 
-653143    18      42    3    2    0 
-652907    14    1641    2    0    0 
-652470     6     499    2    0    0 
-652039    23     614    2    2    0 
-651610    32    1379    2    0    0 
-651610    35      48    3    1    0 
-651609     0     134    3    2    0 
-651543    10      24    2    1    0 
-651351    28    1344    2    2    0 
-651081    16    1204    2    2    0 
-651081    17     566    0    0    0 
-651062    20    1997    0    2    0 
-651032    19    1592    2    1    0 
-651032    21    1540    3    1    0 
-651032    25     367    2    0    0 
-651032    26     508    3    0    0 
-650941     4      22    0    0    0 
-650699    18      62    3    1    0 
-650547     8      93    1    2    0 
-650308    15    1782    0    1    0 
-650267     9      49    0    1    0 
-650133     5      38    1    1    0 
-649812    18     259    1    0    0 
-649744    22    1613    2    2    0 
-649726     9      35    2    0    0 
-649726    10     398    3    2    0 
-649678    13      16    2    1    0 
-649515     7     123    1    2    0 
-649416    22    1641    3    0    0 
-649211     0    1707    3    1    0 
-649211     5     226    3    2    0 
-649211     6      81    3    0    0 
-648835    35     221    2    1    0 
-648805    22     105    2    0    0 
-648800    29      50    2    0    0 
-648270    21    1726    0    0    0 
-648270    25     147    2    2    0 
-648262     8      51    1    2    0 
-648227    20      41    3    2    0 
-647879    30      80    0    0    0 
-647776    17     223    0    1    0 
-647508    10      26    0    2    0 
-647123     2    1748    1    2    0 
-647123     8      81    1    1    0 
-647004     7      17    2    2    0 
-646796    17      24    0    1    0 
-646530    24      56    3    1    0 
-646106     8      44    1    2    0 
-645875    26    1833    0    0    0 
-645875    29    1330    2    2    0 
-645875    31      84    0    1    0 
-645720    22      56    0    1    0 
-645697    30    1713    1    2    0 
-645165    25    1653    2    2    0 
-644983    16      47    2    0    0 
-644535    31      68    1    0    0 
-644383    22    1783    0    1    0 
-644383    28      82    1    0    0 
-644368    18      58    1    0    0 
-644155    20     160    2    1    0 
-644155    20     504    2    2    0 
-643890    12      93    2    1    0 
-643890    14      23    2    0    0 
-643631    11      21    2    1    0 
-643302     8     371    3    0    0 
-643182     1     126    0    0    0 
-643061    10      17    2    0    0 
-643059     6     137    1    0    0 
-643041     2    1805    1    2    0 
-643013    26     245    2    2    0 
-642777    15      21    2    2    0 
-642777    16     920    2    1    0 
-642777    17      24    0    1    0 
-642542    31      52    1    2    0 
-642109    27      32    3    1    0 
-642109    28     200    1    1    0 
-642048    23     279    3    0    0 
-642048    25     107    3    1    0 
-641936     8    1655    1    0    0 
-641822    29    1621    2    1    0 
-641822    34      43    2    0    0 
-641821     1      18    2    2    0 
-641382    22      45    0    0    0 
-641286    10      50    0    0    0 
-641286    11     128    0    1    0 
-641286    12    1043    0    2    0 
-641181    19      31    0    0    0 
-641100     2     176    1    0    0 
-641091     0      82    3    0    0 
-640730    11      46    2    1    0 
-640394    32    1358    2    1    0 
-639950    11    1561    3    1    0 
-639950    16      41    1    1    0 
-639950    17      98    1    0    0 
-639799    15    1331    0    1    0 
-639497    31      32    3    1    0 
-639497    32     121    0    0    0 
-639497    32      22    2    0    0 
-639241    21     100    1    0    0 
-639241    22      24    0    1    0 
-639241    23     495    0    0    0 
-639241    24     891    0    2    0 
-639146    12     146    1    1    0 
-638850    35      29    2    1    0 
-638812     8      26    2    2    0 
-638383    32      53    0    1    0 
-638132     3      65    2    2    0 
-638028    11     178    1    2    0 
-637803    13     143    2    1    0 
-637611    21      41    0    1    0 
-637459    11      23    2    2    0 
-637029     4      33    0    0    0 
-636894    28      40    2    2    0 
-636307    13     108    0    0    0 
-635879    32      44    1    0    0 
-635863    13     107    1    0    0 
-634744    21     169    3    1    0 
-634744    21     158    3    2    0 
-634744    22      20    2    1    0 
-634744    22      66    2    0    0 
-634282     6    1453    1    0    0 
-634282     8      74    2    0    0 
-634282     9      54    1    2    0 
-634282    10     564    3    2    0 
-634282    10      21    0    2    0 
-634028    29     112    0    1    0 
-633973    14      72    0    1    0 
-633973    15      17    2    1    0 
-633973    15     236    2    2    0 
-633214     3    1530    1    1    0 
-632990    15    1145    0    1    0 
-632990    16     993    2    1    0 
-632990    16    1092    2    0    0 
-632484     7     442    0    1    0 
-632399     5      54    2    2    0 
-632199    15    1971    3    0    0 
-632199    21     651    3    1    0 
-632199    22      81    3    2    0 
-632132    26      46    3    2    0 
-631132     3      72    3    2    0 
-630997     4    1497    1    1    0 
-630900    22      40    0    0    0 
-630854    24     550    3    2    0 
-630701    14      44    1    2    0 
-630621    22     159    0    2    0 
-630485    32      17    2    1    0 
-630407     9    1325    3    0    0 
-630407    11      31    3    1    0 
-630360     9     102    2    0    0 
-630225    12      70    0    2    0 
-630109    33    1101    2    2    0 
-629997     9     287    3    2    0 
-629819    27      52    2    1    0 
-629619    30     151    3    1    0 
-629469    27      65    3    0    0 
-629451     8      57    3    0    0 
-629317    13    1659    2    0    0 
-629317    18      84    0    2    0 
-629317    19      72    3    2    0 
-629270     6     101    0    2    0 
-629001    34      70    0    2    0 
-629001    34      43    1    0    0 
-628754     2      51    1    1    0 
-628589     7      33    2    1    0 
-628319    11    1417    2    2    0 
-628256    31      52    0    0    0 
-628256    32      44    2    2    0 
-627934    13    1649    0    1    0 
-627934    17     242    0    0    0 
-627811    15      45    1    1    0 
-627525    17      16    2    1    0 
-627438     9      91    1    0    0 
-627157     3      34    1    0    0 
-627144    32     106    1    0    0 
-627017    26      66    0    0    0 
-626719    30    1809    3    0    0 
-626719    34     112    2    1    0 
-626717     8    1344    3    1    0 
-625934     6      50    1    2    0 
-625498     2      45    0    2    0 
-625192    25      39    0    2    0 
-625037    16    1497    2    1    0 
-625037    20    1243    0    1    0 
-624927    14      80    1    0    0 
-624653    23      23    0    1    0 
-624566    21      52    0    0    0 
-624566    22      33    2    2    0 
-624416    30    1588    3    1    0 
-624330     5      37    3    2    0 
-623808    30     128    1    2    0 
-623627    23      19    2    0    0 
-623551    17      21    2    2    0 
-623423    30      41    0    2    0 
-623171    25    1471    2    2    0 
-622780    28    1735    0    0    0 
-622780    33     160    1    1    0 
-621413     8      53    1    0    0 
-621157    11      24    2    0    0 
-621157    12      32    3    2    0 
-621088     9      30    0    2    0 
-620775    27     241    1    1    0 
-620775    27     554    1    0    0 
-620328    34      95    2    0    0 
-620327     1      34    3    2    0 
-619297    33      37    1    1    0 
-618838    26    1342    3    1    0 
-618838    28     669    1    0    0 
-618662    21      34    3    1    0 
-617808     3    1007    0    1    0 
-617808     3     863    0    2    0 
-617799     5    1233    0    2    1 
-617799     5    2090    1    0    0 
-617799     5    1823    1    1    0 
-617799     5    1915    3    2    0 
-617799     6    1658    3    1    0 
-617799     6    1529    2    1    0 
-617799    11     162    2    0    0 
-617799    12      58    2    2    0 
-617799    12     338    1    2    0 
-617799    12     354    3    0    0 
-617694     3     510    2    1    0 
-617694     3     942    2    2    0 
-617663     0      36    3    2    0 
-617610     1    1656    1    0    0 
-617610     6     166    2    0    0 
-617610     6     172    3    2    0 
-617608    18    1825    0    0    0 
-617608    26      22    2    2    0 
-617573    30      36    2    0    0 
-617410    23      56    1    0    0 
-617261    33      20    2    2    0 
-617179     7    1637    2    1    0 
-617179    12     290    0    0    0 
-617179    13      42    2    2    0 
-617179    13    1129    2    0    0 
-617176     6      72    2    1    1 
-616773    26      40    2    1    0 
-616544    21      36    3    1    0 
-616365    34      17    2    1    0 
-616365    34     324    2    0    0 
-615927    21    1055    3    0    0 
-615782    20    1936    0    1    0 
-615782    21    1649    2    0    0 
-615782    24    1303    2    1    0 
-615782    26     397    0    2    0 
-615782    26      24    0    0    0 
-615782    29      19    2    2    0 
-615271    17      60    3    2    0 
-614521    35      51    3    1    0 
-614042    25      24    0    1    0 
-614000    21    1777    0    0    0 
-613900    27      20    2    0    0 
-613816    15    1706    1    2    0 
-613816    15    1625    3    1    0 
-613816    20     131    3    2    0 
-612494     3     107    3    0    0 
-611974    10     121    1    2    0 
-611626     7      36    0    0    0 
-611096     1     171    1    0    0 
-610980    13     106    1    0    0 
-610770    16      37    0    1    0 
-610744    12      87    0    0    0 
-610640    13      43    2    0    0 
-610427     5      37    3    1    0 
-610327    25     188    0    1    0 
-610172     8      61    1    2    0 
-609455    24    1708    0    0    0 
-608189    23     180    0    2    0 
-608189    27      21    0    0    0 
-608030    20    1653    1    0    0 
-607864     9      64    0    1    0 
-607603    10     126    1    0    0 
-607177    30      87    0    2    0 
-607177    32     938    3    0    0 
-607174    22      32    3    1    0 
-607031    24      65    2    2    0 
-606767    25      33    0    0    0 
-606721     0     129    3    2    0 
-606651    14      59    1    1    0 
-606651    14     257    3    0    0 
-606471    12      58    1    1    0 
-606471    13      74    0    2    0 
-605757    20      48    0    2    0 
-605480    17    1966    3    2    0 
-605480    18    1658    2    0    0 
-605480    22     232    0    2    0 
-605480    22     193    0    0    0 
-605480    23     247    1    0    0 
-605480    23     689    0    1    0 
-605480    25      24    2    1    0 
-605477     7      68    2    0    1 
-605256    23      53    1    2    0 
-605256    24      74    3    1    0 
-605256    24      52    3    2    0 
-604984     8      21    2    2    0 
-604842    23    1987    2    0    0 
-604842    23    1959    3    2    0 
-604842    24    1819    0    1    0 
-604842    25    1545    3    1    0 
-604842    26    1752    0    2    0 
-604842    29    1264    1    0    0 
-604842    29      60    2    2    0 
-604842    29      85    1    1    0 
-604842    29     149    3    0    0 
-604842    30     840    2    1    0 
-604842    30      53    0    0    0 
-604838    16     110    2    0    1 
-604608    16      32    2    2    0 
-604438     9      22    2    0    0 
-604101     3    1787    0    1    0 
-604101     6    1653    0    2    0 
-604101     8      24    0    0    0 
-604013     0      95    2    2    0 
-603991     5      20    2    0    0 
-603991     8      22    0    0    0 
-603567    19      18    2    2    0 
-603478    24    1485    3    1    0 
-603478    28      63    3    0    0 
-603478    29      51    1    2    0 
-603178    33      22    2    1    0 
-602756     9    1324    2    2    0 
-602706     7    1844    0    0    0 
-602313    22      92    1    1    0 
-602313    24     992    1    2    0 
-602181    16      34    0    2    0 
-601977    26     356    0    0    0 
-601950     3      23    0    1    0 
-601800    17    1774    0    1    0 
-601762    26      43    0    1    0 
-601699    28     116    3    2    0 
-601531    22     153    0    2    0 
-601244    26     131    2    0    0 
-601176    25     112    3    0    0 
-600844    32      23    2    1    0 
-599910     7      38    0    1    0 
-599446    31    1731    2    0    0 
-599446    32    1801    3    2    0 
-599445     1      48    2    2    0 
-598854    29      37    1    2    0 
-598382     1      58    0    2    0 
-598382     4      31    3    2    0 
-598073     9     110    3    2    0 
-597913     7     359    1    2    0 
-597884    11      45    0    2    0 
-597650     3     314    0    1    0 
-597535     4      21    2    1    0 
-597535     5     896    2    2    0 
-597345    31      17    2    2    0 
-597133     0    1879    3    2    0 
-597133     1    1640    3    1    0 
-597133     5      78    2    0    0 
-597130    25     257    3    2    1 
-597130    30      84    2    0    0 
-597087    14      40    1    1    0 
-597019    34     675    3    1    0 
-596992    34      23    0    1    0 
-596992    34      50    0    2    0 
-596780    28      68    2    1    0 
-595985    32    1434    1    1    0 
-595985    35     623    0    2    0 
-595985    35     104    2    0    0 
-595985    35      58    2    1    0 
-595984     0     667    1    2    0 
-595984     0     660    1    0    0 
-595984     0      37    2    2    0 
-595948    13      51    3    2    0 
-595948    15      32    1    0    0 
-595771     0     105    2    1    0 
-595771     0     140    2    2    0 
-595769    26     148    3    0    0 
-595671    15      19    2    1    0 
-594586     5     215    3    2    0 
-594422    32      37    2    1    0 
-594371    33      38    1    2    0 
-594346     2      84    2    0    0 
-594346     2     314    3    2    0 
-594090    32     805    1    2    0 
-593957     2     102    2    0    0 
-593957     2      71    0    0    0 
-593238    33      64    3    1    0 
-593150    27     594    1    1    0 
-592819     9    1765    1    2    0 
-592819    10    1771    3    2    0 
-592819    10    1566    3    1    0 
-592819    11    1533    2    0    0 
-592819    14      53    0    0    0 
-592819    14     321    2    1    0 
-592819    14    1229    3    0    0 
-592819    15     139    0    2    0 
-592819    15     208    1    1    0 
-592819    15     350    1    0    0 
-592819    15      21    2    2    0 
-592001     6      44    2    1    0 
-592001     8      21    0    1    0 
-591948    35    1823    3    2    0 
-591947     5     427    2    0    0 
-591570    12     248    0    1    0 
-590999    15      22    2    1    0 
-590903    30      41    1    1    0 
-590352    15    2132    0    2    0 
-590352    16    1745    1    0    0 
-590352    20     100    3    1    0 
-590352    20    1310    0    1    0 
-590352    21     139    0    0    0 
-589786    31     186    0    0    0 
-589710    22      84    0    0    0 
-589623    35     156    0    2    0 
-589285     4    1829    3    2    0 
-589285     5    1853    0    2    0 
-588946    24    1349    2    2    0 
-588924    13      27    2    2    0 
-588901    27    1715    3    1    0 
-588901    28    1957    0    2    0 
-588901    32     448    1    1    0 
-588901    32     161    3    0    0 
-588901    33     337    0    1    0 
-588901    33      96    3    2    0 
-588901    33     427    1    0    0 
-588655     4      72    2    2    0 
-588655    21      18    2    1    0 
-588535    33     238    0    0    0 
-588412    16      56    0    1    0 
-587895    23     131    2    0    0 
-587815    27      34    3    1    0 
-587539    17      47    1    2    0 
-587469     6      43    3    2    0 
-587374    20      22    0    1    0 
-587233     5      64    1    2    0 
-586304    18      29    2    1    0 
-586265    17      66    3    2    0 
-585936     9      71    3    1    0 
